element_type,osmid,man_made,surveillance:type,surveillance:zone,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,source,email,opening_hours,access,amenity,name,contact:email,contact:fax,contact:phone,contact:website,fee,operator,parking,capacity,addr:housename,ref,level,alt_name,phone,short_name,wikidata,wikipedia,layer,disused:shop,building,name:de,name:en,addr:suburb,check_date,surveillance,tourism,note,drive_through,nodes,building:levels,building:material,roof:shape,old_name,roof:colour,roof:levels,branch,brand,brand:wikidata,brand:wikipedia,leisure,building:colour,office,capacity:disabled,wheelchair:description,height,shop,website,cuisine,takeaway,smoking,check_date:opening_hours,gambling,description,historic,start_date,recycling_type,fixme,roof:type,noaddress,club,sport,sport:league,official_name,roof:angle,building:part,fax,craft,lastcheck,opening_hours:office,architect,architect:wikidata,building:architecture,heritage,heritage:operator,heritage:ref,image,brothel:eros_center,drink:club-mate,wheelchair:entrance_width,wheelchair:step_height,roof:height,railway,roof:material,source:height,wikimedia_commons,breakfast,internet_access,internet_access:fee,service_times,stars,opening_hours:url,healthcare,healthcare:speciality,nohousenumber,asb,note:de,onkz,operator:wikidata,operator:wikipedia,telecom,biergarten,brewery,diet:vegetarian,outdoor_seating,reservation,toilets:wheelchair,self_checkout,diet:halal,diet:kosher,diet:vegan,compressed_air,repair,sale,coffee,opening_hours:signed,indoor_seating,operator:type,note:building_type,subject:wikidata,subject:wikipedia,roof,building:architect,construction_date,roof:orientation,automated,self_service,min_height,min_level,air_conditioning,description:de,service,payment:cash,material,shooting,power,frequency,location,building:min_level,corridor,organic,delivery,name:es,name:ru,name:zh,rooms,beer_garden,building:use,note2,opening_hours:phone,contact:facebook,building:levels:underground,roof:direction,contact:instagram,contact:linkedin,contact:twitter,contact:youtube,second_hand,ways,type,int_name
node,2438042556,,,,POINT (11.5580294 48.1186334),München,DE,2,,Schäftlarnstraße,,,,,,,Blumengroßmarkthalle München-Thalkirchen,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2580727015,,,,POINT (11.5533807 48.119332),,,,,,,,,,,,Halle 1,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2580727016,,,,POINT (11.5535564 48.1195227),,,,,,,,,,,,Halle 2,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2580727017,,,,POINT (11.5537576 48.1197071),,,,,,,,,,,,Halle 3,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2580727018,,,,POINT (11.5539574 48.1198969),,,,,,,,,,,,Halle 4,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4592493,,,,"POLYGON ((11.4145431 48.1410747, 11.4144948 48.1412431, 11.4142639 48.141211, 11.4142541 48.1412522, 11.4142145 48.1412459, 11.4140165 48.1412145, 11.4140547 48.1411075, 11.4140869 48.1410173, 11.4143221 48.1410469, 11.4145431 48.1410747))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[28380598, 28380595, 299021080, 28380602, 4709664768, 2036320483, 4680442841, 28380600, 4709664765, 28380598]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,5049471,,,,"POLYGON ((11.570644 48.1943579, 11.5708424 48.1943644, 11.5710642 48.1943701, 11.5707734 48.1941688, 11.5705495 48.1940003, 11.5705433 48.1941356, 11.5705369 48.1942753, 11.570644 48.1943579))",,,,,,,,,,,,FIZ Haupteingang 14.6,,,,,,,,,,,,,,,,,1,,commercial,,,,,,,,,"[33848227, 33848224, 28204596, 2140789598, 28204598, 33848240, 33848238, 33848227]",2,glass,skillion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,5216717,,,,"POLYGON ((11.5885075 48.1875162, 11.5885725 48.1875177, 11.5888911 48.1875252, 11.5890082 48.1875279, 11.5890285 48.1871446, 11.5887054 48.187137, 11.5885277 48.1871328, 11.5885075 48.1875162))",München,,160,80807,Frankfurter Ring,,,,,,,P+Z Engineering,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[36681576, 3664767078, 3664767079, 36681577, 36681574, 3664767083, 36681575, 36681576]",5,,flat,Fernwärme Siemens-Areal,grey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,8010598,,,,"POLYGON ((11.5923352 48.1952588, 11.592337 48.1951774, 11.5916849 48.195171, 11.5905002 48.1951594, 11.590488 48.1957131, 11.5909726 48.1957179, 11.5916485 48.1957245, 11.5916458 48.1958481, 11.5918151 48.1958498, 11.5918179 48.1957241, 11.5923248 48.195729, 11.5923352 48.1952588))",München,DE,10,80939,Helene-Wessel-Bogen,,Yahoo / YWMS,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[549316316, 549316310, 59937298, 59937295, 59937296, 9344235399, 59937297, 549316327, 549316330, 549316325, 9344279919, 549316316]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9725652,,,,"POLYGON ((11.5902388 48.1882192, 11.5903161 48.1882194, 11.5903166 48.1881276, 11.5891697 48.1881246, 11.5891685 48.1883176, 11.589736 48.188319, 11.5897366 48.1882032, 11.5902389 48.1882045, 11.5902388 48.1882192))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[8289327271, 1597814167, 76907517, 76907518, 76907521, 8289327272, 76907523, 1597814168, 8289327271]",2,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,10479601,,,,"POLYGON ((11.591931 48.1932196, 11.5931629 48.1932317, 11.593169 48.1929547, 11.5925531 48.1929487, 11.5919371 48.1929426, 11.591931 48.1932196))",München,,17,80939,Maria-Probst-Straße,,,,24/7,,,McFit,,,,,,McFIT,,,,,,,+49 89 37067960,,,,,,commercial,,,,,,,,,"[90053109, 90053110, 90053111, 2419844624, 90053115, 90053109]",2,,flat,,darkgrey,0,München Schwabing,McFit,Q871302,en:McFit,fitness_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,15220697,,,,"POLYGON ((11.6432928 48.0890536, 11.6433228 48.0890111, 11.6433981 48.0889023, 11.6435406 48.0889496, 11.6436687 48.0889922, 11.6435932 48.0890962, 11.6435632 48.0891387, 11.6438588 48.0892342, 11.6439729 48.0891335, 11.6438031 48.0890794, 11.6439515 48.0888757, 11.6441799 48.0889507, 11.6443078 48.0888377, 11.644049 48.0887518, 11.6442058 48.0885442, 11.6445204 48.08865, 11.6446356 48.0885483, 11.6445687 48.0885237, 11.6441127 48.088375, 11.6440072 48.0885272, 11.6439 48.0884907, 11.643737 48.0884353, 11.6438406 48.0882893, 11.6437861 48.088271, 11.6437537 48.0882601, 11.643679 48.088235, 11.6433468 48.0887063, 11.6431368 48.0890048, 11.6432928 48.0890536))",München,DE,34,81739,Carl-Wery-Straße,,,,,,,B/S/H/,,,,,,,,,,Gebäude A,,,,,,,,,commercial,,,,,,,,,"[2714664990, 2714664988, 2714664976, 2714664980, 2714664984, 2714665001, 2714665007, 150578862, 150578863, 150578865, 150578866, 150578867, 150578869, 150578870, 150578871, 150578872, 150578874, 2704573798, 2704573794, 150578876, 2714664941, 150578878, 150578879, 2704573789, 2704573787, 150578880, 2714664964, 150578861, 2714664990]",6,,flat,,,0,,,,,,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,15220700,,,,"POLYGON ((11.6439558 48.0881459, 11.6439858 48.0881021, 11.6440069 48.0880709, 11.6440369 48.0880263, 11.6441002 48.0879344, 11.6441211 48.0879414, 11.6441559 48.087897, 11.6441884 48.0879055, 11.6441965 48.0878949, 11.6442121 48.0878746, 11.644157 48.0878565, 11.6442497 48.0877307, 11.644397 48.0877303, 11.6446163 48.0877289, 11.644616 48.0878256, 11.6445861 48.0878256, 11.6445873 48.0878723, 11.6445538 48.0878716, 11.6445525 48.087892, 11.6445517 48.0879115, 11.6446145 48.0879115, 11.64461 48.0880283, 11.6445338 48.0880285, 11.6444424 48.0880286, 11.6443662 48.0880274, 11.6443367 48.0880713, 11.6443152 48.0881023, 11.6442843 48.0881454, 11.6445041 48.0881458, 11.6445614 48.0881455, 11.6447845 48.0881446, 11.6447859 48.0877988, 11.6447867 48.0876102, 11.6446857 48.0876109, 11.644435 48.0876126, 11.6441398 48.0876146, 11.6437419 48.0881462, 11.6438315 48.0881461, 11.6438704 48.088146, 11.6439558 48.0881459))",,,34,,Carl-Wery-Straße,,,,,,,B/S/H/,,,,,,,,,,Gebäude B,,,,,,,,,commercial,,,,,,,,,"[2714664753, 2714664721, 2714664716, 2714664697, 2714664681, 2714664685, 2714664665, 2714664669, 2714664662, 2714664653, 2714664643, 2714664616, 2714664615, 2714664613, 2714664637, 2714664634, 2714664648, 2714664650, 2714664658, 2714664675, 2714664677, 2714664700, 2714664703, 2714664705, 2714664708, 2714664718, 2714664724, 2714664759, 2714664729, 2714664726, 150578966, 2714664620, 2166944535, 2166944536, 2714664611, 150578969, 150578953, 2704573786, 2704573785, 2714664753]",6,,flat,,,,,,,,,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,15220712,,,,"POLYGON ((11.6443091 48.0864896, 11.6436689 48.0864882, 11.6437238 48.0866192, 11.6441259 48.0866192, 11.6441263 48.0868484, 11.6438515 48.0868442, 11.643914 48.0869742, 11.644139 48.0869723, 11.644128 48.0872126, 11.6440339 48.087213, 11.6440928 48.0873392, 11.6443234 48.0873376, 11.6443208 48.0871732, 11.6444244 48.0871731, 11.6446178 48.087173, 11.6446137 48.0874184, 11.6446845 48.0874366, 11.6447867 48.087459, 11.6447887 48.0868277, 11.6447898 48.0864895, 11.6446112 48.0864886, 11.6446115 48.0865316, 11.644613 48.0866549, 11.6444281 48.0866562, 11.6443071 48.086657, 11.6443094 48.0865326, 11.6443091 48.0864896))",München,DE,42,81739,Carl-Wery-Straße,,,,,,,,,,,,,,,,,Gebäude C,,,,,,,,,commercial,,,,,,,,,"[2714664522, 150579713, 150579715, 150579716, 150579717, 150579719, 150579720, 150579721, 150579722, 150579731, 150579704, 150579706, 150579707, 2714664555, 150579708, 150579709, 2166944533, 2166944534, 2714664551, 150579712, 2714664521, 2714664524, 2714664542, 2714664544, 2714664546, 2714664525, 2714664522]",6,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,17952124,,,,"POLYGON ((11.5739113 48.1341213, 11.5743282 48.1343832, 11.5748859 48.1347334, 11.5749274 48.1347595, 11.5749612 48.1347807, 11.5752066 48.1346067, 11.5751258 48.134556, 11.5745736 48.1342092, 11.5741567 48.1339473, 11.5739113 48.1341213))",München,DE,4,80331,Blumenstraße,,,,,,,Schrannenhalle,,,,,,,,,,,,,,,,de:Schrannenhalle (München),,,commercial,,,,,,yes,,,"[185859988, 3033263290, 3869464088, 10870196158, 20225965, 185859990, 3869464087, 3033263289, 185859992, 185859988]",1,,gabled,,#AAAAAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19079795,,,,"POLYGON ((11.5545607 48.1757771, 11.5552048 48.1757696, 11.5551893 48.1751793, 11.5545452 48.1751868, 11.5545607 48.1757771))",,,,,,yes,,,,yes,parking,Parkdeck Olympiaturm,,,,,yes,,multi-storey,,,,,,,,,,,,commercial,,,,,,,,,"[197776332, 197776334, 197776336, 197776337, 197776332]",2,,flat,,grey,,,,,,,,,6,6 Behinderten Parkplätze im Parkdeck am Olympiaturm (alle kostenlos mit Merkzeichen aG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19079940,,,,"POLYGON ((11.553419 48.1755972, 11.5536587 48.1755968, 11.5538907 48.1755935, 11.5538927 48.1756359, 11.5541164 48.1756322, 11.5541102 48.1750645, 11.5538818 48.175068, 11.5538839 48.1751137, 11.5531517 48.1751223, 11.553419 48.1755972))",,,,,,,,,,,,SWM Services GmbH,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[197777854, 1323742852, 197777856, 197777858, 197777860, 197777861, 197777863, 197777864, 197777866, 197777854]",,,flat,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24000154,,,,"POLYGON ((11.5944532 48.0918955, 11.5943957 48.091761, 11.5943358 48.0916206, 11.5943157 48.0915735, 11.5942581 48.0915845, 11.5942354 48.0915315, 11.594213 48.091479, 11.5945038 48.0914236, 11.5945311 48.0914874, 11.5945698 48.09148, 11.5946077 48.0915687, 11.5946677 48.0917092, 11.5947251 48.0918437, 11.5944532 48.0918955))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[260231524, 3852348598, 3852348596, 1288034977, 1288034990, 3851339408, 260231525, 1288034986, 1288035000, 260231526, 3852348595, 3852348597, 260231527, 260231524]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24512857,,,,"POLYGON ((11.6177023 48.1495386, 11.6179099 48.149403, 11.6179107 48.1491234, 11.6178554 48.1491224, 11.6178556 48.1491055, 11.6178798 48.149106, 11.6178819 48.1490504, 11.6177866 48.1490506, 11.6177866 48.1491062, 11.6178147 48.1491064, 11.6178144 48.1491225, 11.617699 48.1491252, 11.6177023 48.1495386))",,,,,,,,,,,,Hypo-Haus,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[266573514, 266573515, 1122707044, 1061808317, 1061808440, 1061808467, 1061808403, 1061808315, 1061808376, 1061808407, 1061808400, 266573517, 266573514]",6,,flat,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24833309,,,,"POLYGON ((11.6612905 48.1355753, 11.6615491 48.1356413, 11.6620876 48.1357712, 11.6627768 48.134492, 11.6620019 48.1343094, 11.6618149 48.1346518, 11.6617814 48.1346449, 11.6614021 48.135362, 11.6612905 48.1355753))",München,DE,4,81829,Martin-Kollar-Straße,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[269785606, 1770543629, 269785608, 269785610, 269785612, 2939489602, 2939489603, 1770543619, 269785606]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24833310,,,,"POLYGON ((11.6636785 48.135552, 11.6638028 48.1355383, 11.663816 48.1355915, 11.664119 48.135558, 11.664087 48.1354292, 11.6636597 48.1354766, 11.6636785 48.135552))",München,DE,4,81829,Valentin-Linhof-Straße,,,,,,,Junited Autoglass,,,,,,,,,,,,,+49 89 4377 8390,,,,,,commercial,,,,,,,,,"[269785614, 269785616, 269785617, 269785618, 269785619, 269785623, 269785614]",,,,,,,,,,,,,,,,,car_repair,https://junited-autoglas-muenchen.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24833313,,,,"POLYGON ((11.6636701 48.1358006, 11.6637031 48.1359396, 11.6643051 48.1358761, 11.6642722 48.1357371, 11.6636701 48.1358006))",München,DE,6,81829,Valentin-Linhof-Straße,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[269785624, 269785625, 269785626, 269785627, 269785624]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24833315,,,,"POLYGON ((11.659837 48.1340551, 11.6606152 48.1346513, 11.661166 48.1343311, 11.6603878 48.1337348, 11.659837 48.1340551))",München,DE,1,81829,Martin-Kollar-Straße,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[269785632, 269785633, 269785634, 269785635, 269785632]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25477351,,,,"POLYGON ((11.6428673 48.0881006, 11.6430645 48.0878302, 11.6433946 48.0879376, 11.6433218 48.0880375, 11.6431933 48.0880691, 11.643059 48.0881022, 11.643024 48.0881502, 11.6428673 48.0881006))",München,DE,121,81739,Gustav-Heinemann-Ring,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[2714686850, 277623488, 277623489, 277623490, 1225653519, 277623491, 2714686851, 2714686850]",5,,flat,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25477410,,,,"POLYGON ((11.6430057 48.0869084, 11.6431765 48.0868725, 11.643122 48.086765, 11.6431682 48.0866943, 11.6432139 48.0866247, 11.6432707 48.0866118, 11.6432153 48.0865026, 11.6428426 48.086587, 11.6430057 48.0869084))",München,DE,109,81739,Gustav-Heinemann-Ring,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[2714686848, 2714686847, 277623921, 2714679549, 2714679551, 277623920, 277623919, 277623918, 2714686848]",5,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25477419,,,,"POLYGON ((11.6431453 48.0876718, 11.6435122 48.0877862, 11.6436578 48.087581, 11.6436953 48.0875282, 11.6435876 48.0873164, 11.6435104 48.087333, 11.6433414 48.0873708, 11.6432495 48.0873906, 11.6432861 48.0874645, 11.6431453 48.0876718))",München,DE,115,81739,Gustav-Heinemann-Ring,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[277623983, 277623984, 2714686849, 277623985, 277623986, 2714679567, 2714679568, 277623989, 302053700, 277623983]",5,,flat,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26998480,,,,"POLYGON ((11.6321976 48.0918489, 11.6321688 48.0917098, 11.6322511 48.0917022, 11.6322467 48.0916808, 11.6323511 48.0916712, 11.6324445 48.0916625, 11.6324495 48.0916866, 11.6326208 48.0916708, 11.6326486 48.0918051, 11.6324864 48.0918201, 11.6325117 48.0919424, 11.6322946 48.0919624, 11.6322698 48.0918422, 11.6321976 48.0918489))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[2351598401, 2351598383, 2351598384, 2351598376, 3059813522, 2351598370, 2351598377, 295934372, 295934377, 295934381, 295934379, 295934396, 295934394, 2351598401]",3,,gabled,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26998481,,,,"POLYGON ((11.6309672 48.0921815, 11.6310438 48.0921738, 11.6311422 48.0921639, 11.6311301 48.0921104, 11.6310944 48.0919523, 11.6313266 48.0919289, 11.6314064 48.0919208, 11.6313789 48.0917988, 11.6313419 48.0918025, 11.6308918 48.0918479, 11.6309573 48.0921376, 11.6309672 48.0921815))",,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[295934401, 506451683, 2351598430, 295934410, 295934415, 506451681, 295934418, 295934420, 3059813526, 295934408, 3059813525, 295934401]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26998777,,,,"POLYGON ((11.6308436 48.0914419, 11.6308697 48.0915631, 11.631241 48.0915274, 11.631247 48.0915553, 11.6312544 48.0915896, 11.631839 48.0915333, 11.6318141 48.091418, 11.6314468 48.0914534, 11.6314321 48.0913853, 11.6308436 48.0914419))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[295937230, 316815293, 316815295, 3059813523, 316815291, 316815292, 295937238, 295937236, 295937231, 295937230]",3,,quadruple_saltbox,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26998778,,,,"POLYGON ((11.6330094 48.0888739, 11.6324339 48.0889401, 11.632474 48.0890958, 11.6332891 48.0890022, 11.6332681 48.0889207, 11.6331854 48.0885996, 11.6329459 48.0886271, 11.6330094 48.0888739))",München,DE,11,81737,Nailastraße,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[295937244, 295937245, 295937243, 295937240, 5112706427, 295937239, 295937241, 295937244]",3,,flat,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27100274,,,,"POLYGON ((11.6627363 48.1347987, 11.662979 48.1348568, 11.6629953 48.1348607, 11.6629503 48.1349446, 11.6631966 48.1350035, 11.6631889 48.1350179, 11.6633233 48.1350501, 11.6632391 48.1352069, 11.6625993 48.1350539, 11.6627363 48.1347987))",München,DE,3,81829,Valentin-Linhof-Straße,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[1771598121, 3010493080, 3010493081, 297337150, 1771598122, 1771598123, 297337151, 297337143, 297337144, 1771598121]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27273892,,,,"POLYGON ((11.4133953 48.1410906, 11.413461 48.1408931, 11.4134332 48.140889, 11.4134619 48.1408026, 11.413345 48.1407853, 11.4133176 48.1408675, 11.4132958 48.1408643, 11.4132288 48.141066, 11.4133953 48.1410906))",München,DE,319,81249,Bodenseestraße,,,,,,fast_food,Burger King,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[299380724, 299380725, 2023256197, 2023256193, 2023256199, 2023256191, 299380726, 299380727, 299380724]",,,,,,,,Burger King,Q177054,en:Burger King,,,,,,,,https://www.burgerking.de,burger,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
