element_type,osmid,amenity,capacity,fee,network,opening_hours,operator,payment:coins,payment:debit_cards,ref,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amperage,socket:type2,source,source:delivery_date,voltage,authentication:membership_card,description,manufacturer,motorcar,name,socket:schuko,operator:short,operator:wikidata,operator:wikipedia,website,fixme,authentication:nfc,authentication:none,access,capacity:car,socket:type2_combo,scooter,layer,level,note,covered,bicycle,service:bicycle:charging,service:bicycle:pump,socket:schuko:current,socket:type2:output,contact:phone,contact:website,socket:chademo,socket:chademo:output,socket:type2_combo:output,capacity:charging,description:en,truck,wheelchair,cars,trucks,authentication:app,parking:fee,check_date,status,maxstay,power,traffic_sign,brand,authentication:phone_call,authentication:short_message,surveillance:type,charging_station:output,name:de,name:en,object:city,object:country,object:housenumber,object:postcode,object:street,socket:type2:current,socket:type2:voltage,brand:wikidata,brand:wikipedia,short_name,maxstay:conditional,authentication:membership_card:types,payment:membership_card,ref:EU:EVSE,socket:type:output,cargo,payment:account_cards,payment:credit_cards,payment:electronic_purses,payment:notes,phone,vending,contact:email,note:en,motor_vehicle,charge,image,amenity:wikipedia,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,payment:maestro,ref:ocm
node,5289276713,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,,POINT (11.5940546 48.1290345),,,,,,32,2,,,,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5289287716,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,DESWME012801,POINT (11.5985173 48.1272636),,,,,,32,2,,,,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5289287717,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,DESWME012901,POINT (11.5984766 48.1272396),,,,,,32,2,,,,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5300000948,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME008201,POINT (11.5764079 48.1333581),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5300000949,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME008301,POINT (11.5764138 48.1334084),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5300000958,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME004001,POINT (11.6158724 48.142384),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5300000959,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME003901,POINT (11.6157565 48.1423945),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5325323614,charging_station,4,no,,,P+R Park & Ride GmbH,,,,POINT (11.4080498 48.1767854),,,,,,,,,,,,,,no,E-Bike-Ladestation,4,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,1 day,,,,,,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5376361251,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME016302,POINT (11.6225151 48.120544),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5376361252,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME016202,POINT (11.6226144 48.1206092),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5394122125,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME013801,POINT (11.5831312 48.115537),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5394122126,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME013701,POINT (11.5831571 48.1156301),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5415037934,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME013001,POINT (11.6443247 48.1239437),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5420135702,charging_station,,,,,Stadtwerke München,,,,POINT (11.5563123 48.2135948),,,,,,,,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5420135703,charging_station,,,,,Stadtwerke München,,,,POINT (11.5562902 48.2135036),,,,,,,,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5437309048,charging_station,2,,,,Stadtwerke München,,,,POINT (11.4811976 48.1836945),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5437492184,charging_station,3,,,,,,,,POINT (11.4703732 48.1670994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5437494228,charging_station,4,yes,,,Stadtwerke München,,,,POINT (11.4751903 48.1636941),München,,43,81247,Packenreiterstraße,32,4,local knowledge;https://lemnet.org/de/map/,,400,,,,yes,,,SWM,Q882871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5437506965,charging_station,2,,ladenetz.de,,Stadtwerke München,,,DESWME008501; DESWME008502,POINT (11.4656181 48.1923144),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5462938400,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME000901,POINT (11.5804095 48.1356311),,,,,,,,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5516038929,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME015601,POINT (11.5798532 48.1349681),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5516038930,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME015701,POINT (11.5799907 48.1349531),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5516038935,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME016001,POINT (11.6095984 48.1180061),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5516038936,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME016101,POINT (11.6094975 48.117942),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5519285725,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME016701,POINT (11.5668608 48.137958),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5519285726,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME016601,POINT (11.5669959 48.1379353),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5519285731,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,,POINT (11.5714658 48.1403905),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5519285732,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,,POINT (11.5713337 48.1404201),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5519285737,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,,POINT (11.580994 48.1388455),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5519285738,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,,POINT (11.5808594 48.1388696),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5539187643,charging_station,2,,,,Stadtwerke München,,ladenetz.de,DESWME014401;DESWME014402,POINT (11.5904193 48.1631097),,,,,,,2,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5600000621,charging_station,4,,,,Stadtwerke München,,,,POINT (11.5597288 48.1548336),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5602488703,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5777238 48.1698917),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5602488704,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5851917 48.1711981),,,,,,,,,,,,,,,Stadtwerke München,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5602488705,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5787018 48.166707),,,,,,,,,,,,,,,Stadtwerke München,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5602881887,charging_station,3,yes,,,Deutsche Telekom,,,,POINT (11.5533909 48.1749496),,,,,,300,2,,,400,,,,,,,,,,,,,yes,,,1,,,,,,,,,,43kW,,,1,63kW,100kW,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5604952041,charging_station,2,,ladenetz.de,,Stadtwerke München,,,DESWME014801;DESWME014802,POINT (11.5481789 48.1402285),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5604952042,charging_station,2,,ladenetz.de,,Stadtwerke München,,,DESWME014901;DESWME014902,POINT (11.5480506 48.1401188),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5612013875,charging_station,2,,,,Sparda Bank,,,,POINT (11.5529217 48.1421107),,,,,,,2,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5612013876,charging_station,2,no,,,Sparda Bank,,,DEDGVS0016,POINT (11.5524821 48.1421578),,,,,,143,1,,,400,,,,,,,,,,,,,,,,1,,,,,,,,,,43kW,,,1,50kW,50kw,,,,,,,,yes,,,,,,,,,,98kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5620342495,charging_station,2,no,,,BMW,,,,POINT (11.5687204 48.1402087),,,,,,,1,,,,,,,,,,,Q26678,en:BMW,,,,,,,1,,,,,,,,,,22kW,,,,,20kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5633472336,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,ladenetz.de,DESWME006001;DESWME006002,POINT (11.548264 48.1205864),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,yes,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5650490768,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,,DESWME012601,POINT (11.5704039 48.1130515),,,,,,32,,,,400,no,,,yes,,,SWM,Q882871,de:Stadtwerke München,https://www.swm.de/elektromobilitaet/oeffentliches-laden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,DE:365-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5650490769,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,,DESWM012401,POINT (11.570648 48.1129959),,,,,,32,,,,400,no,,,yes,,,SWM,Q882871,de:Stadtwerke München,https://www.swm.de/elektromobilitaet/oeffentliches-laden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,DE:365-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5682184838,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5084816 48.1808355),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5682184839,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME007101;DESWME007102,POINT (11.5184977 48.1817043),,,70,,Pelkovenstraße,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5682184840,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME001101;DESWME001102,POINT (11.5324066 48.1732446),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWM Ladestation,SWM Charging Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5702939920,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME004501,POINT (11.5668506 48.1608654),,,,,,32,,,,400,SWM Tankkarte,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5711527034,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,DESWM019701;DESWM019702,POINT (11.5260195 48.0772702),,,,,,,,,,,rfid,ladenetz.de RFID card or 'MVG more' App,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5732432422,charging_station,4,yes,,,Stadtwerke München,,,,POINT (11.499323 48.135527),,,,,,32,4,local knowledge,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5734443375,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME013002,POINT (11.6320091 48.1263358),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5734443376,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME013002,POINT (11.6321357 48.1263053),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5787436056,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5787827 48.1495042),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5837016109,charging_station,4,yes,,,Stadtwerke München,,,,POINT (11.4789397 48.1449393),München,DE,21,81241,Kremser Straße,32,4,local knowledge,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5837017598,charging_station,4,yes,,,Stadtwerke München,,,,POINT (11.4740742 48.142584),München,DE,3,81241,Am Knie,32,4,local knowledge,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5837021436,charging_station,2,,,,Stadtwerke München,,,,POINT (11.436356 48.1633831),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5837026632,charging_station,2,yes,,,Stadtwerke München,,,,POINT (11.510851 48.1387723),,DE,26,80686,Ilse-Weber-Straße,32,2,local knowledge,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5837030938,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME005101;DESWME005102,POINT (11.5346583 48.1213192),,,,,,32,2,,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5837066883,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME018801;DESWME018802,POINT (11.6273521 48.1102093),,,,,,32,2,,,400,SWM Tankkarte,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,44kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5837075592,charging_station,2,yes,,24/7,Stadtwerke München,,ladenetz.de,DESWME016801;DESWME016802,POINT (11.5708143 48.1337748),,,,,,32,2,,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5837082775,charging_station,2,yes,,,Stadtwerke München,,,,POINT (11.5646533 48.1324237),München,DE,11,80337,Lindwurmstraße,32,2,local knowledge,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5837085752,charging_station,2,yes,,,Stadtwerke München,,,,POINT (11.5624194 48.1382525),München,,10,80336,Zweigstraße,32,2,https://carsharing.mvg-mobil.de/;local knowledge,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5838803896,charging_station,4,yes,,,Stadtwerke München,,,,POINT (11.5629948 48.1363051),München,,11,80336,Landwehrstraße,32,4,local knowledge,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5838805033,charging_station,2,yes,,,Stadtwerke München,,,,POINT (11.5581776 48.1325786),München,DE,4,80336,Beethovenplatz,32,2,local knowledge,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5838814097,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME019401;DESWME019402,POINT (11.5439953 48.1219808),,,,,,32,2,,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5838817667,charging_station,4,yes,,,Stadtwerke München,,,,POINT (11.5449166 48.1183196),München,DE,11,81371,Lindenschmitstraße,32,4,local knowledge,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5838825161,charging_station,2,yes,,,Stadtwerke München,,,,POINT (11.476349 48.1134019),München,DE,10,81377,Marchioninistraße,32,2,local knowledge;http://carsharing.mvg-mobil.de/,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5838828694,charging_station,2,yes,,24/7,Stadtwerke München,,,,POINT (11.4795108 48.0901388),,,,,,,2,local knowledge;http://carsharing.mvg-mobil.de/,,,,,,yes,,,SWM,Q882871,,,,,,yes,,,,,,,,,,,,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,München,DE,19,81475,Appenzeller Straße,32 A,400 V,,,,,,,,,,,,,,,,,,,,,,,,,
node,5838841839,charging_station,2,,,,Stadtwerke München,,,,POINT (11.4626934 48.151328),München,DE,9,81245,August-Exter-Straße,,,local knowledge,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5839062168,charging_station,2,,,,Stadtwerke München,,,DESWME021401 (südöstlich); DESWME021402 (nordwestlich),POINT (11.4420599 48.1480361),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5858977382,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME021201;DESWME021202,POINT (11.5368383 48.1091002),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5858977383,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME021301;DESWME021302,POINT (11.5367325 48.1090955),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5874149229,charging_station,,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME009701,POINT (11.6813524 48.1406686),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5881968560,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5777879 48.1694698),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5903216875,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,DESWME023901;DESWME023902,POINT (11.5821641 48.1821228),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
