element_type,osmid,geometry,wheelchair,addr:city,addr:country,addr:postcode,addr:street,source,amenity,contact:website,name,addr:housenumber,internet_access,internet_access:fee,website,addr:housename,toilets:wheelchair,check_date,operator,ref,phone,description,email,note,alt_name,contact:email,contact:fax,contact:phone,topic,start_date,building,loc_name,roof:colour,roof:shape,short_name,wikidata,wikipedia,internet_access:ssid,name:de,name:en,opening_hours,operator:type,alt_website,type,nodes,name:ar,name:es,name:fr,name:ja,name:pl,name:ru,old_name,building:levels,wheelchair:description,heritage,heritage:operator,heritage:ref,building:part,wikimedia_commons,name:bar,name:el,name:et,name:fa,name:he,name:la,name:tr,name:zh,building:colour,description:de,name:az,name:eo,name:hu,name:id,name:it,name:pt,name:sv,informal_name,opening_date,ways,official_name
node,283031238,POINT (11.5795225 48.1494272),yes,,,,,,university,https://www.physik.lmu.de/de/index.html,Fakultät für Physik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,283031240,POINT (11.5824286 48.1508643),yes,München,,80539,Professor-Huber-Platz,,university,,Juristisches Seminar,2,wlan,customers,https://www.jura.uni-muenchen.de/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,305614014,POINT (11.5942831 48.1500233),limited,München,DE,80538,Oettingenstraße,,university,,Ludwig-Maximilians-Universität,67,,,https://www.lmu.de/de/,Ludwig-Maximilians-Universität,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,994492350,POINT (11.5828079 48.1550515),,München,DE,80802,Leopoldstraße,,university,,Rachel Carson Center for Environment and Society,11a,,,https://www.carsoncenter.uni-muenchen.de/,,,,LMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1128197050,POINT (11.5553422 48.1425373),yes,München,DE,80335,Arnulfstraße,,university,,FOM Hochschule Oekonomie Management,32,,,,,yes,2023-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1383696769,POINT (11.5987673 48.1430668),,München,,81675,Maria-Theresia-Straße,,university,,Graduiertenschule für Ost- und Südosteuropastudien,21,,,,,,,Ludwig-Maximilians-Universität,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2351318699,POINT (11.6892295 48.1374794),,München,,81829,Konrad-Zuse-Platz,,university,,Hochschule der Bayerischen Wirtschaft,8,yes,,https://www.hdbw-hochschule.de/,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2438975940,POINT (11.6152536 48.1313326),yes,München,,81673,Berg-am-Laim-Straße,,university,,IUBH - Duales Studium,47,,,https://www.iu-dualesstudium.de/,,no,,Internationale Hochschule Bad Honnef · Bonn GmbH,,+49 (0)89 - 9213102-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2485263373,POINT (11.5821232 48.1604539),,München,DE,80801,Wilhelmstraße,,university,,Hochschule für Musik und Theater — Standort Wilhelmstraße,19,,,https://hmtm.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2513030157,POINT (11.5760512 48.1566627),,,,,,,university,,Seniorenstudium (LMU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2557267108,POINT (11.5829267 48.1566081),yes,München,DE,80802,Leopoldstraße,,university,,Serlo Education e.V. – Hochschulgruppe der LMU,15,yes,,https://de.serlo.org/,,,,Serlo Education e.V.,,,"Serlo.org bietet einfache Erklärungen, Kurse, Lernvideos, Übungen und Musterlösungen mit denen SchülerInnen und Studierende nach ihrem eigenen Bedarf und in ihrem eigenen Tempo lernen können. Die Lernplattform ist komplett kostenlos und werbefrei.",de@serlo.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3414243194,POINT (11.5780072 48.1413043),limited,,,80333,Residenzstraße,,university,,DGFI-TUM,1,,,https://www.dgfi.tum.de,,,,Technische Universität München,,,,,Deutsches Geodätisches Forschungsinstitut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3929291567,POINT (11.5523631 48.1531606),,München,DE,80335,Lothstraße,,university,https://www.nachhaltigehochschule.de/,Hochschule und Nachhaltigkeit Bayern Hochschule München,34,,,,,,,,,,,,,,info@nachhaltigehochschule.de,,,environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5223011421,POINT (11.5696234 48.1466983),yes,München,,80333,Bernd-Eichinger-Platz,,university,,Hochschule für Fernsehen und Film München,1,,,https://www.hff-muc.de/,HFF München,yes,,,,,,,,,,,,,,university,HFF,grey,flat,HFF München,Q569350,de:Hochschule für Fernsehen und Film München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5772457341,POINT (11.5622953 48.1478107),,München,,80333,Augustenstraße,,university,,Technische Universität München / Modelierung Räumlicher Mobilität,44,wlan,,,,,,,,,,,,,,,,,,,,,,,,,eduroam,Technische Universität München / Modelierung Räumlicher Mobilität,Technical University of Munich / Modeling Spatial Mobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6029489006,POINT (11.55502 48.1473605),,,,,,,university,,Hochschule Macromedia,,,,,,,,,,,,,,,,,,,,,,,,,Q1346417,de:Hochschule_Macromedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7080823087,POINT (11.5815505 48.1521403),,München,,80539,Ludwigstraße,,university,,"Institut für Statistik, Ludwig Maximilians Universität, München",33,,,https://www.statistik.uni-muenchen.de,,,,,,+498921803195,,geschaeftsstelle@stat.uni-muenchen.de,,,,,,,,,,,,,,,,,"Department of Statistics, Ludwig Maximilians Universität, Munich",,,http://www.statistik.lmu.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7235704223,POINT (11.5446179 48.1286529),,München,DE,80339,Theresienhöhe,,university,,EU Business School,28,,,https://www.eumunich.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7775849853,POINT (11.5674452 48.1460982),,München,DE,80333,Arcisstraße,,university,,Hochschule für Musik und Theater,12,,,https://hmtm.de/,,,,,,,,,,,,,,,,,,,,HMTM,Q657167,de:Hochschule für Musik und Theater München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8143714328,POINT (11.5650422 48.1481088),,München,DE,80333,Luisenstraße,,university,,Hochschule für Musik und Theater — Standort Luisenstraße,37a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8143714329,POINT (11.5681203 48.1455784),,München,DE,,,,university,,Hochschule für Musik und Theater — Gebäude C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8285161077,POINT (11.5688847 48.1427164),,,,,,,university,,"Fakultät für Architektur, Fakultät für Bauingenierwesen, Fakultät für Geoinformation",,,,https://www.hm.edu/,,,,Hochschule für angewandte Wissenschaften München,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9130196630,POINT (11.5643966 48.1475003),yes,München,,80333,Luisenstraße,,university,,Fakultät für Geowissenschaften,37,yes,no,,,,,Ludwig-Maximilians-Universität München,,,,,,,,,,,,,,,,,,,BayernWLAN;eduroam,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9160144285,POINT (11.5536119 48.1105678),,München,DE,81379,Hans-Preißinger-Straße,,university,,Hochschule für Musik und Theater — Standort Gasteig HP8,6,,,https://hmtm.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9828814305,POINT (11.5632336 48.1471226),,München,,80333,Richard-Wagner-Straße,,university,,TUM Sprachenzentrum,3,,,,,,,TUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10813000251,POINT (11.579695 48.1464292),,München,DE,80539,Ludwigstraße,,university,https://www.bayerischegeschichte.uni-muenchen.de/,Institut für Bayerische Geschichte,14,,,,,,,,,,Institut für Bayerische Geschichte der Ludwig-Maximilians-Universität München,,,,BayerischeGeschichte@lmu.de,+49 89 28638-2506,+49 89 28638-2507,,,,,,,,Q1664809,de:Institut für Bayerische Geschichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,18940172,"POLYGON ((11.4646059 48.1130976, 11.4648529 48.1130476, 11.4649214 48.1130551, 11.4649782 48.1130606, 11.4649907 48.1130282, 11.4650302 48.1128338, 11.4651219 48.1123994, 11.4648775 48.1123786, 11.4648701 48.1124098, 11.4647518 48.1123994, 11.4646059 48.1130976))",,München,,81377,Feodor-Lynen-Straße,,university,,Haus A Genzentrum der LMU und Institut für Biochemie,25,,,https://www.genzentrum.uni-muenchen.de/index.html,,,,"Ludwig-Maximilians-Universität, Fakultät für Chemie und Pharmazie",,,,,,,,,,,,yes,,,,A,,,,,Building A Gene Center of the University of Munich,,,,,"[195989395, 2501691793, 2501691773, 195989397, 1626171892, 1626172025, 195989398, 2501691784, 2501691844, 195989399, 195989395]",,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23684068,"POLYGON ((11.6002768 48.1362508, 11.5998204 48.1362279, 11.599669 48.1362848, 11.5997433 48.1364172, 11.599668 48.136436, 11.5995245 48.1362992, 11.5995072 48.1363049, 11.5994556 48.1362409, 11.5994365 48.1362187, 11.599415 48.1361938, 11.5993757 48.136153, 11.5994295 48.1361346, 11.5994352 48.1360748, 11.5994371 48.1360454, 11.5994372 48.1360243, 11.5994391 48.1359723, 11.5994377 48.1359573, 11.5995596 48.1359607, 11.5996814 48.1358789, 11.5996753 48.1358454, 11.5997447 48.135831, 11.5997594 48.1358433, 11.5999452 48.1358411, 11.5999436 48.1358521, 11.5999559 48.1358528, 11.5999727 48.1358539, 11.6000556 48.1358603, 11.6000503 48.1358962, 11.6000779 48.1358982, 11.6000631 48.1360536, 11.6001872 48.136061, 11.6002389 48.1360641, 11.600276 48.136056, 11.6003217 48.1361199, 11.6002225 48.1361439, 11.6002768 48.1362508))",yes,,,,,Bing,university,,Hörsäle der TUM,,,,,,,,,551,,,,,,,,,,,university,,,,,,,,,,,,,,"[1319711778, 208826711, 208826721, 208826738, 208826592, 1872159404, 890028988, 890028328, 9048025548, 890029215, 1872161266, 1872161264, 7903099886, 7902976282, 7903099885, 2923399581, 1872161265, 1872161269, 1872161268, 1872161267, 1872161270, 890028621, 890029154, 890028511, 7903064733, 7903064734, 7903064735, 7903064736, 1319711779, 1319711784, 7903064737, 3519327876, 1319711777, 1319711776, 1319711786, 1319711778]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27939265,"POLYGON ((11.5932424 48.1419345, 11.5931413 48.1417159, 11.5929448 48.1417503, 11.5929873 48.1418432, 11.5929037 48.1418558, 11.5929078 48.1418649, 11.5929662 48.1419957, 11.5932424 48.1419345))",no,,DE,80538,Prinzregentenstraße,,university,,Haus der Forschung,52,,,,,,,,,,,,,,,,,,,yes,,,flat,,,,,,,,,,,"[306652604, 306652605, 306652607, 306652609, 3745533151, 306652600, 306652602, 306652604]",,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28018009,"POLYGON ((11.4497551 48.1416265, 11.4506623 48.1422863, 11.4512303 48.1419566, 11.4519836 48.1418429, 11.4517442 48.1408834, 11.4512241 48.1409638, 11.4508735 48.1410087, 11.4502923 48.1413166, 11.4497551 48.1416265))",yes,München,DE,81243,Am Stadtpark,,university,,Hochschule für angewandte Wissenschaften München,20,wlan,no,https://www.hm.edu/,,,,,,,,,,,,,,,,,,,,,Q314089,de:Hochschule für angewandte Wissenschaften München,@BayernWLAN,,,,,,,"[307658873, 2881600894, 2881600893, 2881600891, 340596993, 10187844290, 307658880, 10142786977, 307658873]",,,,,,,Höhere Fachschule für Sozialpädagogik,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34103150,"POLYGON ((11.5846742 48.1501828, 11.5850732 48.1501282, 11.5851871 48.1501378, 11.5853779 48.1501153, 11.5858049 48.1500597, 11.5859434 48.1500407, 11.5860347 48.1500405, 11.5861106 48.1500678, 11.5861589 48.150115, 11.5868508 48.15121, 11.5870283 48.151661, 11.5880231 48.1525818, 11.5882021 48.152838, 11.5879918 48.1531182, 11.5869319 48.1526512, 11.5866646 48.1527234, 11.5859676 48.1523767, 11.585708 48.1522107, 11.5855509 48.1520183, 11.5856088 48.1519989, 11.5857673 48.1519539, 11.5858147 48.1520035, 11.5860778 48.1518829, 11.5863726 48.1517684, 11.5861757 48.1515078, 11.5859284 48.1515632, 11.5858297 48.1513778, 11.5853803 48.1514839, 11.585321 48.1513816, 11.5847446 48.1503693, 11.5846742 48.1501828))",,,,,,,university,,Veterinärmedizinisches Institut der Universität München,,,,,,,,LMU,,,,,,,,,,,,,,,,,,,,,,,,,,"[390922664, 10308611623, 1711775308, 10308611619, 10308611622, 25274660, 10308611620, 10308611621, 25274646, 390922666, 27154369, 10308611617, 390922668, 390922669, 1288250877, 1288250865, 1288250889, 6552762349, 390922670, 3610825210, 3610825209, 3610825211, 3610825208, 3610825207, 3610825205, 5554138382, 5554138381, 5554138380, 1318876562, 1318875932, 390922664]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35590297,"POLYGON ((11.5930853 48.1648844, 11.5932668 48.1650346, 11.5930682 48.1651414, 11.5928867 48.1649912, 11.5930853 48.1648844))",,,,,,,university,,TU München Institut für Pharmakologie,,,,,,,,,,,,,,,,,,,,yes,,#FF9090,hipped,,,,,,,,,,,"[417099646, 417099649, 417099651, 417099654, 417099646]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37446454,"POLYGON ((11.5545752 48.1596037, 11.5547339 48.1596879, 11.5550783 48.1594016, 11.5549113 48.1593153, 11.5545752 48.1596037))",,,,,,,university,,Hochschule für angewandte Wissenschaften München,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,"[437988427, 437988432, 437988434, 437988437, 437988427]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40036557,"POLYGON ((11.5587225 48.1350206, 11.5589145 48.1350187, 11.5589128 48.1349415, 11.5589098 48.1348036, 11.5589095 48.1347889, 11.5591119 48.134787, 11.5593171 48.134785, 11.5593444 48.1347847, 11.5593404 48.1346037, 11.5587766 48.1346092, 11.5587795 48.1347439, 11.5587563 48.1347441, 11.5587165 48.1347445, 11.5587225 48.1350206))",no,München,DE,80336,Goethestraße,,university,,Institut für Pharmakologie und Toxikologie,33,,,,,,,,,,,,,Walter-Straub-Institut für Pharmakologie und Toxikologie,,,,,,yes,,,,,,,,,,,,,,"[481413749, 481413751, 1067910440, 4528901324, 481413753, 4528963260, 4528901373, 481413756, 481413758, 481413760, 481413762, 2471545176, 481413764, 481413749]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40102143,"POLYGON ((11.5604388 48.1349098, 11.560645 48.1349022, 11.5606218 48.1346546, 11.5606081 48.1345023, 11.5605345 48.1345037, 11.5603836 48.1345067, 11.5604117 48.1346057, 11.5604148 48.1346399, 11.5604157 48.1346504, 11.5604388 48.1349098))",,München,DE,80336,Schillerstraße,,university,,Physiologisches Institut,46,,,,,,,,C,,,,,,,,,,,yes,,,,,,,,,,,,,,"[482644539, 482644542, 4468084813, 482644545, 2471583218, 482644548, 482644522, 4528963254, 4528901353, 482644539]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,46650528,"POLYGON ((11.5811294 48.141562, 11.5810472 48.1413724, 11.5810202 48.1413102, 11.5807705 48.1413584, 11.5807829 48.1413856, 11.5805675 48.1414292, 11.5804805 48.1412353, 11.5804711 48.1412137, 11.5804637 48.1411967, 11.5804332 48.1411249, 11.580365 48.1409672, 11.5801161 48.1410123, 11.5802237 48.1412651, 11.5802336 48.141288, 11.5803202 48.1414842, 11.5804017 48.1416793, 11.5808742 48.1415866, 11.5808844 48.1416098, 11.5811294 48.141562))",,München,DE,80539,Marstallplatz,,university,,Bayerische Akademie der Wissenschaften,8,,,,,,,,,,,,,,,,,,,,,,,,Q684415,de:Bayerische Akademie der Wissenschaften,,,,,,,,"[277909302, 277909303, 596068864, 3178063986, 3178063988, 254055637, 639010494, 639010496, 4921250904, 4921250903, 596082558, 277909325, 639010484, 639010480, 277909328, 596090161, 4891849557, 1288273865, 277909302]",,,,,,,,,,4,BLfD,D-1-62-000-2733,yes,,,,,,,,,,,,,,,,,,,,,,
