element_type,osmid,amenity,brand,brand:wikidata,brand:wikipedia,opening_hours,wheelchair,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,name,man_made,surveillance,operator,railway,access,parking,atm,wheelchair:description,capacity,fee,source,barrier,note,tourism,check_date,material,operator:wikidata,operator:wikipedia,postal_code,ref,name:signed,check_date:opening_hours,cuisine,diet:vegan,diet:vegetarian,takeaway,contact:website,office,addr:inclusion,description,survey:date,disused:shop,dispensing,phone,shop,website,internet_access,disused:amenity,outdoor_seating,smoking,addr:housename,craft,note:de,opening_hours:signed,url,toilets:wheelchair,contact:phone,ref:vatin,social_facility,contact:mobile,wikidata,wikipedia,leisure,source:addr,air_conditioning,indoor_seating,opening_hours:kitchen,toilets,drive_through,contact:email,contact:fax,healthcare,healthcare:speciality,historic,fixme,wikimedia_commons,start_date,operator:type,park_ride,short_name,building,height,layer,min_height,roof:colour,roof:height,roof:material,roof:shape,nodes,building:levels,brothel:saunaclub,email,roof:levels,building:material,building:colour,heritage,heritage:operator,lda:criteria,ref:lda,alt_name,architect,architect:wikidata,architect:wikipedia,building:architecture,name:en,name:fr,nohousenumber,old_name,image,heritage:website,branch,kids_area,internet_access:fee,building:min_level,construction_date,internet_access:operator,fax,sport,post_office:brand,post_office:brand:wikidata,post_office:type,compressed_air,fuel:GTL_diesel,fuel:HGV_diesel,fuel:biogas,fuel:cng,fuel:diesel,fuel:octane_100,fuel:octane_91,fuel:octane_95,building:cladding,automated,opening_hours:self_service,self_service,official_name,railway:ref,railway:signal_box,club,religion,cafe,service:bicycle:pump,service:bicycle:repair,service:bicycle:retail,research_institution,atm:operator,payment:bancomat,payment:coins,payment:girocard,payment:maestro,payment:mastercard,payment:notes,payment:visa,heritage:operator:short,mapillary,source:name,source:url,denomination,payment:credit_cards,payment:debit_cards,heritage:ref,year_of_construction,opening_hours:covid19,building:use,building:levels:underground,service:vehicle:car_parts,service:vehicle:car_repair,service:vehicle:diagnostics,service:vehicle:oil_change,facebook,ele,asb,telecom,noaddress,internet_access:ssid,payment:cash,website2,disused:brand,disused:contact:website,service,contact:facebook,contact:instagram,contact:twitter,drink:club-mate,owner,pumping_station,onkz,opening_hours:url,climbing:boulder,indoor,political_party:abbreviation,political_party:name,government,ref:bufa,addr:place,access:covid19,delivery:covid19,drive_through:covid19,car_wash,fuel:adblue,fuel:e10,fuel:lpg,fuel:octane_102,fuel:octane_98,fuel:e85,name:de,repair,gambling,note:noaddress,source:geometry,source:noaddress,opening_hours:office,was:office,roof:orientation,culture,payment:dkv,payment:uta,mobile,fuel:charcoal,fuel:e5,fuel:heating_oil,fuel:wood,diet:halal,diet:kosher,payment:american_express,was:building,frequency,power,substation,voltage,microbrewery,product,building:roof,roof:direction,drink:beer,drink:liquor,drink:wine,studio,fascade:colour,second_hand,disused:name,service_times,origin,payment:cards,computer:parts,computer:repair,computer:sales,wholesale,construction,crematorium,protection_title,source:shape,subject:wikidata,subject:wikipedia,truck_wash,community_centre,name:ja,elevator,elevator:access,service:vehicle:body_repair,service:vehicle:painting,name_alt,int_name,member_of,delivery,substance,building:part,climbing:bolted,climbing:length,climbing:sport,outdoor,waterway,not:name,building:facade:material,max_level,min_level,socket,socket:schuko,toilets:access,payment:others,sausage,noname,source:toilets:wheelchair,heritage:since,roof,trade,type,ways,building:roof:shape,building:parts,loc_name,construction:office
way,10268231,,,,,,,"POLYGON ((13.2923729 52.5804327, 13.2924994 52.5802776, 13.2929137 52.5804062, 13.2927852 52.5805618, 13.2923729 52.5804327))",,,,,,,Haus B,,,,,,,,,,,Geoportal Berlin / ALKIS Berlin - Gebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[8007985560, 85768876, 85768875, 8007985559, 8007985560]",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,12181691,brothel,,,,Mo-Su 11:00-05:00,limited,"POLYGON ((13.2822184 52.4997763, 13.2824124 52.4997804, 13.2824407 52.4992793, 13.2823799 52.499278, 13.2823824 52.4992339, 13.2821751 52.4992296, 13.2821722 52.4992808, 13.2821578 52.4995343, 13.2821228 52.4995336, 13.282122 52.4995467, 13.2820873 52.4995459, 13.282086 52.4995676, 13.2820851 52.499585, 13.2821195 52.4995857, 13.2821187 52.4995998, 13.2821521 52.4996005, 13.2821501 52.4996377, 13.2822262 52.4996392, 13.2822184 52.4997763))",Berlin,DE,32-36,10711,Halenseestraße,Halensee,Artemis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 30 8904440,,http://www.fkk-artemis.de,,,,,,,,,,no,,,,,Q4745250,de:Artemis (Bordell),,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[110418628, 110418630, 110418632, 1492946925, 1492946924, 110418635, 6360750372, 6360750371, 6360750369, 6360750366, 6360750367, 6360750363, 6360750365, 6360750364, 6360750368, 6360750370, 1492946926, 1492946927, 110418628]",3,yes,organisation@fkk-artemis.de,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,12230701,,,,,,,"POLYGON ((13.2943541 52.5783695, 13.2943642 52.5783573, 13.2942976 52.578335, 13.2942604 52.5783428, 13.294126 52.5785021, 13.2941362 52.5785209, 13.2941882 52.5785359, 13.2941985 52.5785217, 13.2948811 52.5787289, 13.2950891 52.5787943, 13.2952248 52.5786325, 13.2943541 52.5783695))",,,,,,,Art Handling Spedition,,,Knab Art Handling,,,,,,,,Geoportal Berlin / ALKIS Berlin - Gebäude,,,,,,,,,,,,,,,,,,,,,,,,,https://art-handling.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[3332243547, 3332243546, 3332243543, 3332243544, 3332243558, 3332243561, 3332243563, 3332243562, 3332243570, 3332243625, 3332243568, 3332243547]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,12230842,,,,,,,"POLYGON ((13.294798 52.5777549, 13.2945919 52.5776863, 13.2948631 52.5773862, 13.2948866 52.5773933, 13.2950499 52.5774472, 13.2950703 52.5774545, 13.294798 52.5777549))",Berlin,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[5836421669, 5836421668, 5836421667, 5836421664, 5836421665, 5836421666, 5836421669]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,12230865,,,,,,,"POLYGON ((13.2949443 52.577301, 13.2950359 52.5771988, 13.295411 52.5773232, 13.2953186 52.5774268, 13.294963 52.5773079, 13.2949443 52.577301))",Berlin,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[5836421661, 5836421660, 5836421659, 5836421658, 5836421663, 5836421661]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,12230908,,,,,,,"POLYGON ((13.2950499 52.5774472, 13.2948866 52.5773933, 13.294963 52.5773079, 13.2951239 52.5773619, 13.2950499 52.5774472))",Berlin,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[5836421665, 5836421664, 5836421663, 5836421662, 5836421665]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,13007366,parking,,,,,limited,"POLYGON ((13.3076686 52.4927772, 13.3077126 52.4927252, 13.3077239 52.4927259, 13.3077526 52.4926931, 13.3079332 52.4926339, 13.3080184 52.4926059, 13.3088439 52.4923353, 13.3090053 52.4922824, 13.3093162 52.4923753, 13.3093478 52.4924966, 13.3094977 52.4930461, 13.3095115 52.4930973, 13.309548 52.4932322, 13.3095212 52.4932654, 13.3095366 52.4932701, 13.3095306 52.4932706, 13.3094907 52.4933242, 13.3082637 52.4929531, 13.3076686 52.4927772))",,,,,,,,,,,,private,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,Parkhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[6551092219, 6551092218, 6551092217, 6551092216, 1050193596, 1050193597, 1050193611, 6551092215, 6551092214, 1050193576, 1050193606, 1050193587, 6551092213, 6551092212, 6551092211, 6551092210, 6551092209, 7099602104, 6551092219]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,13649540,,,,,,,"POLYGON ((13.3719091 52.5095736, 13.3721151 52.5095925, 13.3722885 52.509606, 13.3723044 52.5096034, 13.3723236 52.5095875, 13.3723441 52.509572, 13.3723643 52.5095568, 13.3723866 52.5095418, 13.3724316 52.5095153, 13.3724775 52.5094912, 13.3725169 52.5094735, 13.3725573 52.5094574, 13.372601 52.5094426, 13.3726412 52.5094303, 13.3722273 52.5093983, 13.3719609 52.5093773, 13.3719091 52.5095736))",,,,,,,,,,,,,,,,,,,,Sanofi-Synthelabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[125730850, 125731156, 125730860, 2021065347, 2021065342, 2021065338, 2021065332, 125730883, 2021065330, 125730937, 2021065328, 2021065327, 2021065326, 125730951, 10177841826, 125730954, 125730850]",13,,,,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,13649546,,,,,,,"POLYGON ((13.3719372 52.5107086, 13.3715924 52.5108098, 13.3716947 52.5104086, 13.3720447 52.5102931, 13.3719372 52.5107086))",Berlin,,1,10785,Kemperplatz,,Sony Europa Zentrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[2021065604, 125730969, 2021065589, 2021065557, 2021065604]",12,,,,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,13649548,,,,,,,"POLYGON ((13.3717349 52.5102538, 13.3720889 52.5101305, 13.3721539 52.509874, 13.3721761 52.5097836, 13.3720675 52.5097721, 13.3721151 52.5095925, 13.3719091 52.5095736, 13.3717349 52.5102538))",,,,,,,Sanofi,,,,,,,,,,,,,Sanofi-Synthelabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[125731106, 125731116, 437375116, 2021065431, 2021065425, 125731156, 125730850, 125731106]",12,,,,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
