element_type,osmid,access,amenity,capacity,fee,name,opening_hours,phone,website,wheelchair,geometry,level,brand,brand:wikidata,brand:wikipedia,check_date:opening_hours,shop,operator,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,source,addr:suburb,building:levels,check_date,disused:name,disused:shop,contact:email,contact:phone,contact:website,opening_hours:covid19,toilets:wheelchair,office,url,craft,cuisine,diet:vegetarian,indoor_seating,outdoor_seating,email,payment:coins,payment:girocard,payment:mastercard,payment:notes,payment:visa,second_hand,opening_hours:signed,note,supervised,internet_access,name:de,name:en,branch,description,ref,clothes,alt_name,payment:american_express,wheelchair:description:de,inscription,wikidata,wikipedia,nodes,building,roof:levels,start_date,old_name,roof:colour,roof:shape,toilets,loc_name,opening_hours:lastcheck,nohousenumber,fax,fixme,phone:check_date,roof:material,architect,source:date,building:levels:underground,smoking,abandoned:amenity,drink:club-mate,payment:cash,payment:credit_cards,source:roof:shape,building:colour,religion,compressed_air,contact:facebook,delivery:covid19,takeaway:covid19,zero_waste,shop:1996-04--2015-05-13,diet:gluten_free,architect:wikidata,official_name,payment:diners_club,payment:jcb,payment:others,roof:orientation,building:reg_name,addr:housename,disused:amenity,short_name,addr:district,addr:province,addr:subdistrict,image,roof:note,payment:debit_cards,contact:fax,height,smoking:outside,ref:vatin,bicycle_parking,covered,noaddress,service:bicycle:rental,service:bicycle:repair,drive_through,takeaway,source:name,layer,last_checked,architect:website,construction:start_date,owner,building:material,organic,tenant,healthcare,healthcare:speciality,temporary,ways,type,dog
way,124656908,,,,,,,,,,"POLYGON ((9.2223383 48.7867351, 9.2226708 48.7869013, 9.2225044 48.7870458, 9.2224851 48.7870361, 9.2224116 48.7869994, 9.222172 48.7868796, 9.2223383 48.7867351))",,,,,,,,Stuttgart,DE,73,70188,Ulmer Straße,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1386782847, 1386782895, 1386782919, 1386782917, 1386782905, 1386782884, 1386782847]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,124656917,,,,,,,,,,"POLYGON ((9.2221094 48.7870772, 9.2220589 48.7871218, 9.2221013 48.7871401, 9.2221183 48.7871809, 9.2220553 48.7872352, 9.2219874 48.7872431, 9.2218868 48.7871936, 9.2218735 48.7871401, 9.2220047 48.7870249, 9.2221094 48.7870772))",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1386782923, 1386782930, 1386782941, 1386782944, 1386782949, 1386782952, 1386782946, 1386782940, 1386782906, 1386782923]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,124780085,,,,,,,,,,"POLYGON ((9.1112243 48.8159153, 9.1113913 48.8159386, 9.1113854 48.8159673, 9.1113772 48.815984, 9.1112616 48.8159707, 9.1111975 48.8159626, 9.1112243 48.8159153))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1387682058, 1387682060, 1311908163, 1311908165, 1387682062, 597473133, 1387682058]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,124825744,,,,,Karl Louis GmbH,,,,,"POLYGON ((9.2181196 48.8318355, 9.2180316 48.8318745, 9.2179977 48.8318587, 9.2178885 48.8319601, 9.2180288 48.8320256, 9.218138 48.8319242, 9.218105 48.8319088, 9.2181684 48.8318807, 9.2181936 48.831904, 9.2183235 48.8318431, 9.2181364 48.8316701, 9.2180065 48.8317309, 9.2181196 48.8318355))",,,,,,,Firma Karl Louis GmbH,Stuttgart,DE,47,70378,Wagrainstraße,,,,,,,karl.louis@gmx.de,+497119537956,http://www.karl-louis.de/,,,,,plumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1551875431, 1551875433, 1388120476, 1388120493, 1388120497, 1388120490, 1551875436, 1551875434, 1388120479, 1388120474, 1388120458, 1388120463, 1551875431]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+497119537958,,,,,,,,,,,,,,,,,,,,,,,,,
way,125741592,,,,,,,,,,"POLYGON ((9.2209778 48.8099118, 9.2210759 48.8099613, 9.2211487 48.8098989, 9.2210515 48.8098484, 9.2210442 48.8098545, 9.2209778 48.8099118))",,,,,,,,Stuttgart,DE,38,70372,Schmidener Straße,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1395875044, 1395875054, 1395875024, 1395875000, 8873741717, 1395875044]",retail,1,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125746666,,,,,Fisherman´s Partner,Mo-Fr 09:00-18:30; Sa 09:00-15:00,,https://www.fishermans-partner.eu/fachmaerkte/de/stuttgart/start/,yes,"POLYGON ((9.2188626 48.8194667, 9.2193893 48.8192798, 9.2193317 48.8192095, 9.2192751 48.8192296, 9.2191838 48.819118, 9.2187137 48.8192848, 9.2188626 48.8194667))",,,,,,fishing,Fisherman´s Partner Angler-Fachmarkt in Stuttgart GmbH,Stuttgart,DE,49,70376,Nagoldstraße,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1395938673, 1395938654, 1567970312, 1567970314, 1395938634, 1395938651, 1395938673]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125746687,,,,,,,,,,"POLYGON ((9.2138718 48.8180449, 9.2137588 48.8180448, 9.2137589 48.8179981, 9.2133065 48.8179978, 9.2133065 48.8179816, 9.2133066 48.8179359, 9.2131377 48.8179359, 9.2131374 48.8182199, 9.2132389 48.81822, 9.2132388 48.8182701, 9.2138715 48.8182704, 9.2138718 48.8180449))",,,,,,,,Stuttgart,DE,8a,70376,Bottroper Straße,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1395938551, 1569270710, 1569270680, 1569270678, 3604606220, 1395938539, 1395938540, 1395938560, 3866396494, 6576854408, 1395938563, 1395938551]",retail,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,129021629,,,,,,,,,,"POLYGON ((9.2190323 48.7941643, 9.2191314 48.7941422, 9.2190996 48.7940802, 9.2190004 48.7941022, 9.2190323 48.7941643))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1424373111, 1424373103, 1424373098, 1424373099, 1424373111]",retail,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,129021637,,,,,,,,,,"POLYGON ((9.2194774 48.7941545, 9.2194032 48.7939856, 9.2193786 48.7939903, 9.2193434 48.7939104, 9.2193643 48.7939064, 9.2193321 48.7938332, 9.2192106 48.7938564, 9.2193522 48.7941784, 9.2194774 48.7941545))",,,,,,,,,,40,,mercedesstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1424373110, 1424373096, 1424373097, 1424373095, 1424373093, 1424373084, 1424373086, 1424373112, 1424373110]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,129553554,,,,,Gärtnerei Koch,Mo-Fr 08:30-17:30; Sa 09:00-14:00; Su 10:30-12:30; PH off,,,,"POLYGON ((9.1830403 48.7971382, 9.1830452 48.7971794, 9.1831944 48.7971718, 9.1831896 48.7971306, 9.1830403 48.7971382))",,,,,,florist,,Stuttgart,DE,120,70191,Heilbronner Straße,,,,,,,,,http://www.gaertnerei-koch.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1429142441, 1429142244, 1429142252, 1429142422, 1429142441]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,131187735,,cafe,,,Eiscafe La Luna,,,https://www.gelateria-laluna.de/,yes,"POLYGON ((9.168589 48.7639729, 9.1686397 48.7639386, 9.1685752 48.7638979, 9.1685189 48.7639351, 9.1684888 48.7639358, 9.1684567 48.7639452, 9.1684357 48.7639594, 9.168424 48.7639757, 9.1684206 48.7639954, 9.1684262 48.764012, 9.1684417 48.7640291, 9.1684702 48.7640433, 9.1684992 48.7640486, 9.1685367 48.7640453, 9.1685627 48.7640355, 9.1685797 48.7640229, 9.1685915 48.7640046, 9.1685938 48.7639925, 9.168589 48.7639729))",,,,,,,,Stuttgart,,20,70178,Marienplatz,,,1,,,,,,,,,,,,ice_cream,,yes,yes,,,,,,,,no,,,,,,,,,,,,,,,,"[2125115387, 3432185945, 3432185944, 2125115385, 1444341710, 2125115395, 1444341697, 2125115396, 1444341686, 2125115382, 1444341713, 2125115380, 1444341701, 2125115394, 1444341711, 2125115397, 1444341702, 2125115393, 2125115387]",retail,0,,,,skillion,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,yes,,,,,,,,,,,,,,,,,,,,,,,
way,136216708,,,,,frommann-holzboog Verlag e.K.,,,https://www.frommann-holzboog.de/,,"POLYGON ((9.219887 48.8057274, 9.2198328 48.8057583, 9.2198739 48.8057895, 9.2198692 48.8057922, 9.2199277 48.8058367, 9.2199319 48.8058342, 9.2199746 48.8058666, 9.2200271 48.8058367, 9.2200295 48.8058385, 9.2200708 48.805815, 9.2200683 48.8058131, 9.2201106 48.805789, 9.2201082 48.8057872, 9.2200586 48.8057494, 9.2199681 48.8056806, 9.2199393 48.805697, 9.2199318 48.8056913, 9.2199171 48.8056997, 9.2199074 48.8056923, 9.2198694 48.805714, 9.219887 48.8057274))",,,,,,,,Stuttgart,DE,27,70372,König-Karl-Straße,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1255826,de:Frommann-Holzboog Verlag,"[2574073928, 1494594715, 8872631891, 8872631888, 8872631889, 8872631890, 1494594687, 8872631895, 8872631893, 8872631892, 8872631894, 1494594769, 8872631883, 8872631880, 2574073929, 2574073931, 1494594730, 2574073926, 2574073925, 2574073927, 2574073928]",retail,1,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,136216710,,,,,,,,,,"POLYGON ((9.2205587 48.8056362, 9.2204171 48.8056087, 9.220463 48.8055069, 9.2204757 48.8054995, 9.2206361 48.8055293, 9.2206191 48.8055682, 9.2205907 48.8055628, 9.2205587 48.8056362))",,,,,,,,Stuttgart,DE,9,70372,Wiesbadener Straße,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1494594734, 1494594728, 1494594729, 8872631861, 1494594762, 8872631863, 8872631862, 1494594734]",retail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,136372791,,,,,Vodafone,Mo-Sa 10:00-20:00,,https://shops.vodafone.de/stuttgart/koenigstr.-10b,,"POLYGON ((9.1807164 48.7813307, 9.1807339 48.7813491, 9.1807456 48.7813615, 9.1807637 48.7813807, 9.1805743 48.7814574, 9.1805275 48.7814073, 9.1807164 48.7813307))",,Vodafone,Q122141,en:Vodafone,2023-01-14,mobile_phone,Vodafone GmbH,Stuttgart,DE,10B,70173,Königstraße,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1496010257, 7470956519, 1545596849, 1496010258, 1496010261, 1496010260, 1496010257]",retail,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,137242510,,,,,Dürrs Zoo-Shop,Apr-Oct 09:00-18:00; Nov-Mar 09:30-17:00,,http://www.zoo-shop-duerr.de,yes,"POLYGON ((9.2083311 48.804557, 9.2082753 48.8045174, 9.2082663 48.8045229, 9.208167 48.8044526, 9.2081465 48.804438, 9.2079665 48.8045482, 9.2080864 48.8046331, 9.2080751 48.80464, 9.2081309 48.8046796, 9.2081587 48.8046626, 9.2083311 48.804557))",,,,,,gift,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[6242140486, 6242140487, 6242139983, 4093391983, 275685977, 1505433495, 6242139984, 6242140488, 6242140489, 6242139979, 6242140486]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,137615018,,,,,,,,,,"POLYGON ((9.1866571 48.7740901, 9.1867362 48.7740095, 9.1868506 48.7740583, 9.1867658 48.7741447, 9.1867543 48.7741398, 9.1867206 48.7741255, 9.1867264 48.7741196, 9.1866655 48.7740938, 9.1866571 48.7740901))",,,,,,,,Stuttgart,DE,15,70182,Blumenstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1509316346, 1509316792, 1509316422, 1509316609, 3126690887, 3126690884, 3126690881, 3126690876, 1509316346]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,138279214,,,,,,,,,,"POLYGON ((9.2337184 48.8083459, 9.2337217 48.8083946, 9.233723 48.8084139, 9.2336231 48.808403, 9.2335969 48.8084002, 9.2335708 48.8083973, 9.233505 48.8083902, 9.2330417 48.8083399, 9.2330137 48.8083369, 9.2330809 48.8081822, 9.2331092 48.8081852, 9.2331338 48.8081881, 9.233143 48.8081785, 9.2331548 48.808169, 9.2331699 48.8081595, 9.2331838 48.8081528, 9.2331928 48.8081741, 9.2332019 48.8081953, 9.2332445 48.8082, 9.233505 48.8082284, 9.2335141 48.8083524, 9.2335767 48.8083504, 9.2337184 48.8083459))",,,,,,,,Stuttgart,DE,9,70374,Martha-Schmidtmann-Straße,,Bad Cannstatt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1516011206, 4202422636, 1516011214, 4202422641, 4202422640, 4202422637, 4202422635, 2517584434, 1516011203, 1516011194, 3575425586, 4202422627, 4202422626, 4202422622, 4202422621, 4202422619, 4202422624, 4202422628, 4202422629, 1516011199, 1516011207, 4202422633, 1516011206]",retail,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,139454069,,,,,,,,,,"POLYGON ((9.2398219 48.8200509, 9.2414092 48.8201103, 9.2414233 48.8199466, 9.239836 48.8198873, 9.2398219 48.8200509))",,,,,,,,Stuttgart,DE,14,70374,Lehmfeldstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1528811220, 1528811228, 1528811208, 1528811203, 1528811220]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,140187063,,,,,,,,,,"POLYGON ((9.2461032 48.8152936, 9.2461792 48.8151573, 9.2461175 48.8151424, 9.2461075 48.8151602, 9.2459063 48.8151117, 9.2458734 48.8151708, 9.2459373 48.8151862, 9.2459043 48.8152456, 9.2461032 48.8152936))",,,,,,,,Stuttgart,DE,1,70374,Narzissenweg,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1535953590, 1535953521, 1535953513, 1535953523, 1535953489, 1535953526, 1535953535, 1535953559, 1535953590]",retail,3,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,140293025,,,,,,,,,,"POLYGON ((9.1134048 48.7269468, 9.1134564 48.7269099, 9.1134896 48.72693, 9.1135165 48.7269107, 9.1136166 48.7269715, 9.113538 48.7270278, 9.1134048 48.7269468))",,,,,,,,Stuttgart,DE,3,70563,Bahnhof Vaihingen,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1537150448, 8457145727, 1537150497, 8457145726, 1537150488, 1537150454, 1537150448]",retail,0,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,140293027,,,,,,,,,,"POLYGON ((9.1133702 48.7267969, 9.1132728 48.7268666, 9.1133544 48.7269162, 9.1134174 48.7268712, 9.1134518 48.7268465, 9.1133702 48.7267969))",,,,,,,,Stuttgart,DE,5,70563,Bahnhof Vaihingen,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1537150485, 1537150428, 1537150481, 8457145725, 1537150522, 1537150485]",retail,1,,,,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,140304015,,,,,,,,,,"POLYGON ((9.1252311 48.7440214, 9.1253046 48.7439603, 9.1252251 48.7439187, 9.1251516 48.7439798, 9.1252311 48.7440214))",,,,,,,,Stuttgart,DE,4/2,70569,Im Elsental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1537300758, 1537300775, 1537300768, 1537300782, 1537300758]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,140502455,,,,,,,,,,"POLYGON ((9.0996278 48.7172386, 9.0994355 48.7170894, 9.0993383 48.7171439, 9.0993602 48.7171608, 9.0992532 48.7172538, 9.0993778 48.7173163, 9.099464 48.7172414, 9.0995306 48.7172931, 9.0996278 48.7172386))",,,,,,,,Stuttgart,,65,70565,Steigstraße,Bing,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1539328517, 1539328471, 1539328485, 1539328507, 1539328526, 1539328555, 1539328521, 1539328548, 1539328517]",retail,0,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,141778787,,,,,,,,,,"POLYGON ((9.2188734 48.8323406, 9.2187828 48.8322597, 9.2186785 48.8323102, 9.2187691 48.8323912, 9.2188734 48.8323406))",,,,,,,,Stuttgart,DE,35,70378,Wagrainstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1551875500, 1551875486, 1551875495, 1551875508, 1551875500]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
