element_type,osmid,access,amenity,amperage,authentication:none,capacity,description,motorcar,opening_hours,operator,operator:wikidata,operator:wikipedia,socket:type2,socket:type2:output,voltage,geometry,bicycle,bus,hgv,ref,rwetempcharging_station:plug,scooter,socket:type1_cable,socket:type1_cable:current,socket:type1_cable:output,socket:type1_cable:voltage,socket:type2_cable,socket:type2_cable:output,socket:type2_cable:voltage,source,source:delivery_date,brand,brand:wikidata,brand:wikipedia,name,addr:city,addr:country,addr:postcode,addr:street,fixme,addr:housenumber,socket:type1,socket:type1:current,socket:type1:output,socket:type1:voltage,socket:type1_combo,socket:type1_combo:current,socket:type1_combo:voltage,fee,maxstay,parking:fee,payment:app,payment:cards,payment:cash,payment:membership_card,addr:floor,addr:housename,authentication:phone_call,authentication:phone_call:number,capacity:car,contact:phone,layer,level,parking,service,note:de,note,noexit,covered,socket:schuko,location,socket:chademo,socket:chademo:output,socket:type2_combo,socket:type2_combo:output,authentication:membership_card,payment:account_cards,payment:contactless,fee:conditional,socket:type2_cable:current,authentication:app,source:date,website,charge,name:de,name:en,network,socket:type2:voltage,payment,socket,maxstay:conditional,charging_station:output,nodes,building,motor_vehicle
node,5588627322,,charging_station,,,,,,,Ladestation für mobile Akkus,,,,,,POINT (8.7495127 50.1319029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5619883133,yes,charging_station,,,,,,,SYM CHARGE,,,,,,POINT (8.7535187 50.1412732),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5683092928,,charging_station,,,4,,yes,,PBG,,,4,,,POINT (8.6619084 50.1047993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5891155278,,charging_station,,,,,,,,,,,,,POINT (8.6795667 50.1330069),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6270059620,,charging_station,,,1,,,,Mainova,Q1885661,de:Mainova,,,,POINT (8.6798567 50.1104724),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6321931504,,charging_station,,,2,,yes,,Mainova,Q1885661,de:Mainova,,,,POINT (8.6801551 50.1211791),,,,DE*MNV*E10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6322372564,,charging_station,,,2,"TOWER T2B1C für 1 E-Car (Typ29 & 2 E-Bikes.
Das passende Ladekabel für Ihr E-Bike können Sie vor Ort ausleihen oder direkt auf www.bike-energy.com bestellen.",,,,,,,,,POINT (8.6493795 50.1139287),,,,,,,,,,,,,,,,,,,bike-energ Ladestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6358752320,,charging_station,,,6,,,,Ikea,,,,,,POINT (8.6544791 50.1960528),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6501875387,,charging_station,,,,,,,,,,,,,POINT (8.7555129 50.1322801),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6684844221,,charging_station,,,2,,,,Mainova,Q1885661,de:Mainova,,,,POINT (8.7031279 50.1238571),,,,DE*MNV*E10008*001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6691015202,,charging_station,,,,,,,,,,,,,POINT (8.5967827 50.1365966),yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,
node,6804994177,customers,charging_station,,,2,,,,Lidl,Q151954,en:Lidl,1,43kW,,POINT (8.6297792 50.08409),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,indoor,1,50kW,1,50kW,,,,,,,,,,,,,,,,,,,,
node,6813501870,,charging_station,,,2,,,24/7,Allego,Q75560554,,1,43 KW,,POINT (8.6193722 50.0840662),,,,,,,,,,,,,,,,,,,Ladesäule,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,1,50 KW,1,50 KW,yes,,,,,,,,,,,,,,,,,,,
node,6957353593,,charging_station,,,2,,,,Allego,Q75560554,,,,,POINT (8.5872863 50.0551752),,,,,,,,,,,,,,,,,,,allego HPC,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2,300 kW,,yes,yes,,,,,,,,,,,,,,,,,
node,6957353599,,charging_station,,,2,,,,Allego,Q75560554,,,,,POINT (8.58732 50.0552337),,,,,,,,,,,,,,,,,,,allego HPC,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2,300 kW,,yes,yes,,,,,,,,,,,,,,,,,
node,6957353600,,charging_station,,,2,,,,Allego,Q75560554,,,,,POINT (8.5873537 50.0552921),,,,,,,,,,,,,,,,,,,allego HPC,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2,300 kW,,yes,yes,,,,,,,,,,,,,,,,,
node,7777259879,,charging_station,,,,,,,,,,,,,POINT (8.6101766 50.1467483),yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8451235443,private,charging_station,,,2,,yes,,Mainova,Q1885661,de:Mainova,,,,POINT (8.7011651 50.1101676),no,no,no,,,no,,,,,1,22 kw,,,,,,,,,,,,,,,,,,,,,yes,,,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,no @ customers,32 A,,,,,,,,,,,,,,,
node,8517503609,,charging_station,,,,,yes,24/7,Fastned,Q19935749,,,,,POINT (8.6090136 50.1470668),,,,50264,,,,,,,,,,https://fastnedcharging.com/nl/locaties;Fastned (OCPI),,,,,Fastned Eugen-Hartmann-Straße REWE,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,4,50 kW,4,50 kW,yes,,,,,yes,2022-06-07,https://fastnedcharging.com,,,,,,,,,,,,
node,8869728188,customers,charging_station,,,2,,yes,,PSA Retail,,,,,,POINT (8.7343332 50.1202437),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8869728189,customers,charging_station,,,2,,yes,,PSA Retail,,,,,,POINT (8.7342909 50.1202781),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8869728190,customers,charging_station,,,2,,yes,,PSA Retail,,,,,,POINT (8.7342561 50.120309),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9310220399,,charging_station,,,2,,,,ALDI Süd,Q41171672,hu:Aldi Süd,,,,POINT (8.5033197 50.0919206),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9330406478,yes,charging_station,,,4,,,,Mainova,Q1885661,de:Mainova,,,,POINT (8.5505037 50.0843535),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9335788917,,charging_station,,,,,,,,,,,,,POINT (8.5428477 50.1034683),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9388161573,yes,charging_station,,,22,,,,NewMotion,Q105883058,,,,,POINT (8.708406 50.2000242),,,,,,,,,,,,,,,,,,,e-MOTION.world,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,",45",NewMotion,,,,,,,,,,
node,9411054858,,charging_station,,,2,,,,Mercedes,,,,,,POINT (8.7351207 50.1049812),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9413166330,,charging_station,,,2,,,,Mercedes,,,,,,POINT (8.7353548 50.1051186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9413166331,,charging_station,,,2,,,,Mercedes,,,,,,POINT (8.7353723 50.1049603),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9413166332,,charging_station,,,2,,,,Mercedes,,,,,,POINT (8.7356003 50.1051276),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9413166333,,charging_station,,,2,,,,Mercedes,,,,,,POINT (8.735617 50.1049659),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9413166334,,charging_station,,,2,,,,Mercedes,,,,,,POINT (8.7358477 50.1051349),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9413166335,,charging_station,,,2,,,,Mercedes,,,,,,POINT (8.7358638 50.1049736),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9556227094,,charging_station,,,2,,,,GreenCharge,,,,,,POINT (8.7291371 50.1324242),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9556227095,,charging_station,,,2,,,,GreenCharge,,,,,,POINT (8.7290774 50.1324294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9693173092,,charging_station,,,12,,,,,,,,,,POINT (8.6314025 50.1728381),yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9906344285,,charging_station,,,1,,,,BMW,Q26678,,,,,POINT (8.7234493 50.1155434),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10065903994,,charging_station,,,2,,yes,,,,,,,,POINT (8.6204541 50.1315549),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10066729715,,charging_station,,,1,,,09:00-18:00,EMobility Netzwerk Deutschland GmbH,,,1,,,POINT (8.6804801 50.1029649),,,,DE*END*E06VOBA146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10184379781,yes,charging_station,,,4,,,,Mainova,Q1885661,,,,,POINT (8.6914419 50.0892229),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mainova.de/de/loesungen/elektromobilitaet/ladestationen,,,,,,,,,,,,
node,10207515127,,charging_station,,,4,,,,Mainova,,,,,,POINT (8.6065516 50.1449126),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10232645739,permit,charging_station,,,,,,,,,,,,,POINT (8.6794177 50.1329592),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10235910437,,charging_station,,,3,,,,,,,,,,POINT (8.7043769 50.1215129),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10276272844,,charging_station,,,3,,,,,,,,,,POINT (8.7037289 50.121582),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,noch nicht aktiviert (2023-02-05),,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10278260809,yes,charging_station,,,2,,,,eze.network GmbH,,,,,,POINT (8.6756836 50.1343573),,,,,,,,,,,,,,,,,,,EZE Ladestation,,,60320,Bertramstraße,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.eze.network/locations/frankfurt,,,EZE Charging Station,eze.network,,,,,,,,
node,10280668907,,charging_station,,,2,,yes,,Mainova AG,,,,,,POINT (8.6200156 50.1118891),,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10280668908,,charging_station,,,2,,yes,,Mainova AG,,,,,,POINT (8.620082 50.1118904),,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10313393005,private,charging_station,,,2,,,,,,,,,,POINT (8.7389015 50.1438671),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10577383716,,charging_station,,,2,,,,Mercedes,,,,,,POINT (8.7356061 50.1050453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10577383717,,charging_station,,,2,,,,Mercedes,,,,,,POINT (8.7353674 50.1050414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10599160447,,charging_station,,,,,yes,,,,,,,,POINT (8.6763769 50.1152728),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10709901298,yes,charging_station,,,3,,,,,,,,,,POINT (8.7090696 50.1252131),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10712241171,,charging_station,,,3,,,,Qwello,,,,,,POINT (8.6481107 50.0849244),,,,,,,,,,,,,,,,Qwello,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10733515515,,charging_station,,,3,,yes,,,,,,,,POINT (8.727778 50.098573),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10742185516,,charging_station,,,2,,,,eze.network GmbH,,,2,22 kW,,POINT (8.6905931 50.0998797),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.eze.network/locations/frankfurt,,,,eze.network,400,,,,,,,
node,10759857977,customers,charging_station,,,10,,,,ChargeOne (Claus Heinemann Elektroanlagen GmbH),,,,,,POINT (8.6196924 50.0823575),,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daten von https://www.chrg.direct/?evseId=DE%2aMUC%2aE%2aCO110039,,,,,,,,,,,,,,,,,,,,,,credit_card,type 2,,,,,
node,10760927329,,charging_station,,,2,,yes,,Deutsche Telekom,,,,,,POINT (8.7456659 50.1230865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10761790911,,charging_station,,,3,,,,,,,,,,POINT (8.6955204 50.1298513),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10784855262,,charging_station,,,2,,yes,,,,,,,,POINT (8.6689793 50.1195239),,,,,,,,,,,,,,,,,,,EZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10873824635,yes,charging_station,,,2,,,,eze.network GmbH,,,,,,POINT (8.7092099 50.117715),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.eze.network/locations/frankfurt,,,,eze.network,,,,3 hours @ (08:00-21:00),,,,
node,10913966536,,charging_station,,,3,,yes,,qwelo,,,,,,POINT (8.6475424 50.1231383),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10913967127,,charging_station,,,2,,yes,,eze.network GmbH,,,,,,POINT (8.642516 50.1238855),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.eze.network/locations/frankfurt,,,,eze.network,,,,,,,,
node,10915841254,,charging_station,,,1,,,,qwello,,,1,22 kWh,,POINT (8.679349 50.0989789),,,,,,,,,,,1,22 kWh,,,,,,,,,,,,,,,,,,,,,,3 hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 kWh,,,
node,10915841255,,charging_station,,,1,,,,qwello,,,1,22 kWh,,POINT (8.6794224 50.0990069),,,,,,,,,,,1,22 kWh,,,,,,,,,,,,,,,,,,,,,,3 hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 kWh,,,
node,10915841256,,charging_station,,,1,,,,qwello,,,1,22 kWh,,POINT (8.6792777 50.0989487),,,,,,,,,,,1,22 kWh,,,,,,,,,,,,,,,,,,,,,,3 hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 kWh,,,
node,10933507118,,charging_station,400,,2,,yes,24/7,Mainova AG,,,,,1000,POINT (8.6521481 50.190542),,,,,,,,,,,,,,,,,,,Ladesäule,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2,150 KW,yes,,,,,,,,,,,,,,,,,,,
node,10933507119,,charging_station,400,,2,,yes,24/7,Mainova AG,,,,,1000,POINT (8.6519457 50.1906417),,,,,,,,,,,,,,,,,,,Ladesäule,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2,150 KW,yes,,,,,,,,,,,,,,,,,,,
node,10963828017,,charging_station,,,2,,,,eze.network GmbH,,,,,,POINT (8.6966766 50.1225216),,,,,,,,,,,,,,,,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.eze.network/locations/frankfurt,,,,eze.network,,,,,,,,
node,10970374945,,charging_station,,,2,,,,eze.network GmbH,,,2,22 kW,,POINT (8.6924654 50.1000221),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.eze.network/locations/frankfurt,,,,eze.network,400,,,,,,,
node,10983624588,,charging_station,,,2,,yes,,,,,,,,POINT (8.6679889 50.1165098),,,,,,,,,,,,,,,,,,,EZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,940516099,private,charging_station,,,2,,,,Continental Teves,,,,,,"POLYGON ((8.5944535 50.1372818, 8.5946976 50.1372191, 8.5946575 50.137155, 8.5944134 50.1372178, 8.5944535 50.1372818))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8710457858, 8710457857, 8710457856, 8710457855, 8710457858]",roof,yes
