element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name,religion,wheelchair,wikidata,wikimedia_commons,wikipedia,geometry,denomination,wheelchair:description,fixme,addr:suburb,service_times,brand:wikidata,addr:country,contact:website,man_made,old_name,contact:facebook,contact:phone,opening_hours,barrier,image,tourism,level,description,historic,material,operator,name:en,room:ref,short_name,colour,nodes,bicycle,bollard,building,foot,name:fr,website,architect,architect:wikidata,building:architecture,diocese,heritage,architect:wikipedia,deanery,parish,start_date,building:use,alt_name,building:colour,building:levels,building:material,height,roof:material,roof:shape,operator:wikidata,amenity:community_centre,amenity:place_of_worship,name:signed,source,year_of_construction,contact:email,contact:fax,network,roof:levels,roof:orientation,source:name,building:part,addr:neighbourhood,capacity,name:de,landuse,contact:instagram,contact:twitter,contact:youtube,ways,type
way,28604559,,,,,place_of_worship,St. Jakob,christian,,Q2318893,,,"POLYGON ((6.9852859 49.2344517, 6.9852903 49.2344869, 6.9853396 49.2345138, 6.9854213 49.2345077, 6.9854402 49.2344823, 6.9854739 49.2345035, 6.9855076 49.2345018, 6.9855317 49.234477, 6.9855291 49.2344343, 6.9855666 49.2344317, 6.9855653 49.2343914, 6.9856091 49.2343615, 6.985601 49.2343235, 6.9855594 49.2342956, 6.985509 49.2342987, 6.9854815 49.2343004, 6.985475 49.2342617, 6.9854355 49.2340646, 6.9853729 49.2340706, 6.9853657 49.2340349, 6.9853599 49.2340056, 6.9852772 49.234013, 6.9852274 49.2340174, 6.9852398 49.2340834, 6.9851748 49.2340896, 6.9851904 49.2341784, 6.9851946 49.2342091, 6.9852114 49.2343211, 6.9851389 49.234328, 6.9850907 49.234362, 6.9850964 49.2343996, 6.9851517 49.2344245, 6.9852242 49.2344193, 6.9852287 49.2344554, 6.9852859 49.2344517))",roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,"[314309733, 7474781725, 814766666, 814766668, 314309735, 814766675, 7474781724, 814766679, 7474781723, 7474781722, 7474781721, 814769830, 814766682, 814766684, 7434622598, 814766685, 7434622595, 314309736, 814766686, 7434622589, 814766688, 10976917206, 814766690, 1393930568, 314309738, 7434853798, 7474183793, 814766694, 814766695, 814766696, 814766697, 814766698, 814766699, 7474781726, 314309733]",,,church,,Église Saint-Jacob,https://www.sanktjakob.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30849405,Saarbrücken,7,66123,Waldhausweg,place_of_worship,Evangelische Studierendengemeinde (ESG),christian,,,,,"POLYGON ((7.0180838 49.2444136, 7.0181596 49.2444563, 7.0182514 49.2444871, 7.0183524 49.2445209, 7.018705 49.2446185, 7.0191057 49.2446967, 7.0191238 49.2446593, 7.0191708 49.244573, 7.0192585 49.2442718, 7.0182847 49.244055, 7.0180838 49.2444136))",protestant,,,,,Q17354145,,,,,,,,,,,,,,,,,,,,"[343139058, 4061692527, 9318676585, 4061692525, 536524201, 343139059, 4061692528, 4061692529, 343139060, 343139061, 343139058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31620235,,,,,place_of_worship,Sankt Laurentius,christian,,Q2320086,,,"POLYGON ((7.0998748 49.1897887, 7.0998352 49.1898061, 7.0997303 49.1897041, 7.0997665 49.1896882, 7.0997359 49.1896584, 7.1000112 49.1895376, 7.0999815 49.1895087, 7.100081 49.1894651, 7.10013 49.1895108, 7.1001586 49.1894991, 7.1002111 49.1895037, 7.1002507 49.1895279, 7.1002657 49.1895621, 7.1002515 49.1895906, 7.1002236 49.1896036, 7.1002767 49.1896555, 7.1002291 49.1896763, 7.1002444 49.1896912, 7.100174 49.1897221, 7.1001498 49.1896985, 7.0998964 49.1898098, 7.0998748 49.1897887))",catholic,,,,,,,,,,,,,,,,,,,,,,,,,"[353771990, 353771993, 353771996, 353771991, 353771962, 353896504, 353771971, 353771985, 353772046, 353772048, 353772055, 353772064, 353772068, 353772069, 353772071, 353771988, 353896494, 353771984, 353771979, 353771978, 353771960, 353771990]",,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31620246,,,,,place_of_worship,Sankt Laurentius Kapelle,christian,,,,,"POLYGON ((7.1023057 49.191357, 7.1023187 49.1913642, 7.1023527 49.1913383, 7.1024119 49.1913715, 7.1023777 49.1913976, 7.1023914 49.1914052, 7.1022698 49.1914981, 7.1021838 49.19145, 7.1023057 49.191357))",catholic,,,,,,,,,,,,,,,,,,,,,,,,,"[353772091, 353772108, 353772111, 353772114, 353772107, 353772089, 353772098, 353772099, 353772091]",,,chapel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34026905,Saarbrücken,77,66113,St.-Albert-Straße,place_of_worship,St. Albert,christian,,Q2316901,File:Saarbrücken-Rodenhof St.-Albert 2009.jpg,de:St. Albert (Saarbrücken),"POLYGON ((6.9916592 49.2483221, 6.9918336 49.2483144, 6.9919078 49.2483671, 6.9919786 49.2483898, 6.9920679 49.248397, 6.9921695 49.2483793, 6.9922146 49.2483602, 6.9922726 49.2483167, 6.992299 49.2482775, 6.9923075 49.2482116, 6.9922749 49.2481474, 6.9921718 49.2480831, 6.9920808 49.2480652, 6.9919753 49.2480725, 6.9918732 49.2481135, 6.9918096 49.2481836, 6.9917995 49.2482397, 6.9916506 49.2482873, 6.9916592 49.2483221))",catholic,,,,,,,,,,,,,,,,,,,,,,,,,"[389949036, 278269317, 389949030, 389949066, 389949032, 389949021, 389949033, 389949064, 389949035, 389949023, 389949022, 389949063, 389949025, 389949061, 389949027, 389949060, 389949028, 389949038, 389949036]",,,church,,,,Dominikus Böhm;Gottfried Böhm,Q75843;Q76841,modern,Bistum Trier,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35759947,Saarbrücken,18,66117,Am Ludwigsplatz,place_of_worship,Ludwigskirche,christian,,Q539324,,de:Ludwigskirche (Saarbrücken),"POLYGON ((6.9862533 49.2325803, 6.9861526 49.2325875, 6.9861596 49.2326274, 6.9861628 49.2326468, 6.9861659 49.2326662, 6.9862667 49.2326589, 6.9862735 49.2326887, 6.9863212 49.2327072, 6.98636 49.2327051, 6.9863988 49.232703, 6.9864143 49.2327981, 6.9865486 49.2327879, 6.9866747 49.2327785, 6.9866544 49.2326763, 6.9867461 49.2326682, 6.9867661 49.2326428, 6.986755 49.2325812, 6.9867438 49.2325196, 6.9867041 49.2325054, 6.9866238 49.2325115, 6.9866041 49.2324165, 6.9864795 49.2324252, 6.986355 49.2324339, 6.9863699 49.2325253, 6.9863274 49.2325289, 6.9862849 49.2325324, 6.9862473 49.2325525, 6.9862533 49.2325803))",protestant,,,,,,,,,,,,,,,attraction,,,church,,,,,,,"[814691949, 814691950, 8514608075, 8519245754, 814691951, 814691952, 418108567, 1373664169, 7439311087, 418108574, 310444671, 4043572227, 310444666, 418108575, 418108570, 1373664172, 4043572229, 418108565, 1373664170, 418108573, 310444653, 4043572228, 310444647, 418108571, 7439307266, 1373664165, 418108569, 814691949]",,,church,,Église Saint-Louis,,Friedrich Joachim Stengel,Q91920,baroque,Evangelische Kirche im Rheinland,yes,de:Friedrich Joachim Stengel,Kirchenkreis Saar-West,Evangelische Kirchengemeinde Alt-Saarbrücken,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39748367,Saarbrücken,1,66132,Kirchstraße,place_of_worship,Schinkelkirche,christian,no,Q15808944,,,"POLYGON ((7.066811 49.2192664, 7.0669172 49.2192647, 7.0669617 49.2192344, 7.066996 49.2192016, 7.0669781 49.2191306, 7.0668901 49.2190827, 7.0667746 49.2190949, 7.0667148 49.2191582, 7.0667363 49.2192274, 7.066811 49.2192664))",protestant,,,,,,DE,,,,,,,,,,,,,,,,,,,"[476504043, 476504049, 476504052, 476504044, 476504045, 476504046, 476504048, 476504050, 476504047, 476504043]",,,yes,,,https://www.bischmisheim.de/index.php?id=25&lang_id=de_DE,,,,,4,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,79086554,Saarbrücken,2,66111,Cecilienstraße,place_of_worship,Johanneskirche,christian,limited,Q1698869,,de:Johanneskirche (Saarbrücken),"POLYGON ((6.996428 49.2360062, 6.9964774 49.2360436, 6.9965264 49.2360808, 6.9966193 49.2360281, 6.9966403 49.2360285, 6.9966571 49.2360291, 6.9966827 49.2360478, 6.9968719 49.2359415, 6.9969019 49.2359646, 6.9970402 49.2358872, 6.997033 49.2358817, 6.9970889 49.2358505, 6.9970457 49.2358176, 6.9970372 49.2358111, 6.9970452 49.2357592, 6.9969951 49.23572, 6.9969171 49.2357155, 6.9968779 49.2356849, 6.9968721 49.2356804, 6.9968406 49.2356977, 6.9968119 49.2357134, 6.9967989 49.2357033, 6.9966606 49.2357807, 6.9966909 49.235804, 6.9964997 49.2359115, 6.9965409 49.2359427, 6.9965206 49.2359537, 6.996428 49.2360062))",lutheran,,,,"Su 11:00 open ""Gottesdienst""",,DE,http://www.j-kirche.de/,,,,,Tu-Su 15:00-18:00; Mo closed,,,attraction,,,yes,,,,,,,"[924214103, 1394685806, 924214105, 8489793834, 8489793832, 924214106, 924214108, 924214110, 924214112, 924214121, 6751179463, 6751179462, 6751179461, 5586829251, 5586829252, 5586829253, 5586829254, 6751174687, 6751179458, 6751179457, 6751179459, 924214134, 924214136, 924214138, 924214140, 924214142, 9021472818, 924214103]",,,church,,Église Saint-Jean,,Heinrich Güth,,,,,,,,1895..1898,church,Citykirche Johanneskirche,sandybrown,15,sandstone,0,copper,many,,,,,,,,,,,,,,,,,,,,,,
way,83531142,Saarbrücken,100,66128,Hauptstraße,place_of_worship,Evangelische Kirche Gersweiler,christian,yes,Q22691823,,,"POLYGON ((6.9296143 49.2368867, 6.929591 49.2368832, 6.9295984 49.2368619, 6.9292864 49.2368151, 6.9292764 49.2368439, 6.9292281 49.2368367, 6.9292068 49.236897, 6.9292554 49.2369043, 6.9292455 49.2369324, 6.9295565 49.236979, 6.9295659 49.2369523, 6.9295899 49.2369559, 6.9296143 49.2368867))",protestant,,,,,,DE,,,,,,,,,,,,,,,,,,,"[1016499518, 972676614, 972676658, 972676504, 972676559, 972676739, 972676765, 972676589, 972676593, 972676749, 972676476, 972676710, 1016499518]",,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,84194952,,,,,place_of_worship,Matthäuskirche,christian,,Q18025456,,,"POLYGON ((6.9476417 49.2423927, 6.9478436 49.2423896, 6.9478632 49.2424009, 6.9479274 49.2423535, 6.9478538 49.242311, 6.9478494 49.2421362, 6.9478058 49.2421376, 6.9477989 49.2420431, 6.947638 49.242048, 6.9476449 49.2421424, 6.9476021 49.2421437, 6.9476139 49.2423157, 6.9475789 49.2423172, 6.9475803 49.2423942, 6.9476173 49.2423933, 6.9476417 49.2423927))",protestant,,,,,,,,,,,,,,,,,,,,,,,,,"[979348352, 979348280, 979348209, 979348332, 979348303, 979348260, 979348351, 979348308, 979348277, 979348239, 979348324, 8940024137, 8940024138, 979348214, 8011165503, 979348352]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87240634,,4,66127,Am Rathaus,place_of_worship,Neuapostolische Kirche,christian,,,,,"POLYGON ((6.8967587 49.2310893, 6.896865 49.2310243, 6.8968123 49.2309875, 6.8967852 49.2310024, 6.8967117 49.2309546, 6.8966354 49.2310033, 6.8967587 49.2310893))",new_apostolic,,,,,,DE,,,,,,,,,,,,,,,,,,,"[1014411400, 1014411394, 10789055994, 10789055983, 1014411313, 1014411456, 1014411400]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87291247,Saarbrücken,1,66115,Lindenhofstraße,place_of_worship,Hl. Eugenia,christian,,,,,"POLYGON ((6.9402854 49.2494267, 6.9404931 49.2495438, 6.9406061 49.2494578, 6.9405655 49.2494335, 6.9406125 49.2493958, 6.9405045 49.2493386, 6.9404602 49.2493708, 6.9403984 49.2493407, 6.9402854 49.2494267))",russian_orthodox,,,,,,DE,,,,,,,,,,,,,,,,,,,"[1014939546, 1014939918, 1014939873, 9795828844, 9795828677, 9795828700, 9795828856, 1014939810, 1014939546]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87359275,Saarbrücken,3,66128,Kirchenstraße,place_of_worship,Katholische Kirche St. Michael,christian,,Q20771111,,,"POLYGON ((6.9259712 49.2348645, 6.9262051 49.2347528, 6.9263744 49.234904, 6.9264476 49.2348678, 6.9264795 49.2348954, 6.9265326 49.2348689, 6.9264998 49.23484, 6.9265495 49.2348131, 6.9263188 49.2346097, 6.9262921 49.2346225, 6.9262482 49.2345878, 6.9261835 49.2345866, 6.9261443 49.2346054, 6.9261181 49.2346561, 6.9261582 49.2346886, 6.9259059 49.2348091, 6.9259712 49.2348645))",catholic,,,,,,DE,,,,,,,,,,,,,,,,,,,"[1015886347, 1015885948, 1015885726, 1015886017, 1015886242, 1015886442, 1015885814, 1015886135, 1015886329, 1015886525, 1015886552, 1015886296, 1015886497, 1015885746, 1015886057, 1015886264, 1015886347]",,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87490268,Saarbrücken,284,66125,Saarbrücker Straße,place_of_worship,Christuskirche,christian,yes,Q20156429,,,"POLYGON ((7.0373266 49.2782282, 7.0374982 49.2781233, 7.0375595 49.2781659, 7.0377019 49.2780789, 7.0376207 49.2780224, 7.0377241 49.2779592, 7.0375858 49.2778629, 7.0374441 49.2779496, 7.0373503 49.2778843, 7.0372434 49.2779497, 7.037331 49.2780107, 7.0371623 49.2781138, 7.0373266 49.2782282))",lutheran,,,,,,,,,,,,,,,,,,,,,,,,,"[1017662176, 1017662190, 1017662212, 1017662195, 1324829007, 1017662207, 1017662215, 1324829006, 1017662187, 1017662204, 1017662178, 1017662186, 1017662176]",,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87725165,Saarbrücken,25,66128,Klarenthaler Straße,place_of_worship,Herz Mariä,christian,limited,,,,"POLYGON ((6.9116366 49.239515, 6.9116565 49.2394329, 6.9115517 49.2394221, 6.9115308 49.2395086, 6.9113074 49.2394855, 6.9112749 49.2396195, 6.9114942 49.2396422, 6.9114838 49.2396848, 6.9115368 49.2396902, 6.9115401 49.2396764, 6.9116679 49.2396896, 6.9117085 49.2395224, 6.9116366 49.239515))",catholic,,,,,,DE,,,,,,,,,,,,,,,,,,,"[1020080125, 1020080522, 1020080378, 1020080236, 1020080060, 1020080440, 1399527502, 1399527504, 1399527505, 1399527503, 1020079896, 1020079973, 1020080125]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87756948,,,,,place_of_worship,Einsegnungshalle St. Arnual,christian,,,File:EinsegnungshalleStArnual..JPG,,"POLYGON ((7.0148473 49.2126223, 7.0149124 49.212599, 7.0149147 49.2125922, 7.014923 49.2125759, 7.0149388 49.2125501, 7.0149071 49.2125076, 7.0148325 49.2124913, 7.0147628 49.2125098, 7.0147358 49.2125637, 7.0147725 49.2126068, 7.0147811 49.212608, 7.0148075 49.2126139, 7.0148307 49.212619, 7.0148473 49.2126223))",,,,,,,,,,,,,,,,,,,building,,,,,,,"[1020337565, 1020337495, 10106011183, 4037167140, 1020337957, 1020337644, 1020337396, 1020337559, 1020338034, 1020337732, 10106011186, 10777709604, 10106011188, 1020337565]",,,yes,,,,Peter-Paul Seeberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87756956,Saarbrücken,5,66119,St. Arnualer Markt,place_of_worship,Stiftskirche St. Arnual,christian,limited,Q1422153,,de:Stift Sankt Arnual,"POLYGON ((7.0178434 49.2175793, 7.0177466 49.217548, 7.0176254 49.2175087, 7.017396 49.2174324, 7.0174192 49.2174031, 7.0173722 49.2173877, 7.0173752 49.217384, 7.0173969 49.2173577, 7.0174089 49.2173433, 7.0174349 49.2173127, 7.0174875 49.2173284, 7.0175123 49.2172968, 7.0176422 49.2173404, 7.0179498 49.2174479, 7.0179815 49.2174151, 7.018075 49.217448, 7.0180177 49.2175176, 7.0181577 49.2175676, 7.0181689 49.2175946, 7.0181376 49.2176279, 7.0180879 49.2176321, 7.0179582 49.2175914, 7.0179049 49.2176508, 7.0178092 49.217618, 7.0178434 49.2175793))",lutheran,,,Sankt Arnual,,,DE,,,,,,Tu-Su 10:00-16:00; Mo closed,,,,,,,,,,,,,"[1020338039, 7695783612, 2186312859, 1020337658, 7370353624, 7370353625, 10748135462, 10748135465, 2186312853, 1020337401, 1020337862, 1020337573, 1026034125, 1020338042, 1020337736, 1020337420, 1020337935, 1020337826, 1026034182, 1026034216, 1020337487, 1020337949, 1020337634, 1020337382, 1020338039]",,,church,,,https://evangelische-kirche-st-arnual.de/,,,,Evangelische Kirche im Rheinland,,,Kirchenkreis Saar-West,Evangelische Kirchengemeinde St. Arnual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87830721,Saarbrücken,11,66119,Julius-Kiefer-Straße,place_of_worship,Priorat St. Maria zu den Engeln,christian,,,,,"POLYGON ((7.0132891 49.219074, 7.0133138 49.2190937, 7.0136008 49.2193226, 7.0137383 49.2192472, 7.0137603 49.2191768, 7.0137343 49.2191581, 7.0137579 49.2191455, 7.013714 49.2191141, 7.0136911 49.219128, 7.013665 49.2191054, 7.013617 49.2191311, 7.0134479 49.2189932, 7.013434 49.2190003, 7.0133178 49.2190594, 7.0133115 49.2190626, 7.0132891 49.219074))",roman_catholic,,,,,,,,,,,,,,,,,,,,Priesterbruderschaft St. Pius X,,,,,"[1021069477, 10075173979, 1021069438, 1021069529, 1021069412, 2756245879, 2756245877, 2756245876, 2756245869, 2756245874, 2756245872, 1021069337, 10075173940, 10075173941, 10075173970, 1021069477]",,,yes,,,,,,,,,,,,,,,,,,,,,Q868160,,,,,,,,,,,,,,,,,,,,,
way,88378175,Saarbrücken,26,66111,Katholisch-Kirch-Straße,place_of_worship,Basilika St. Johann,christian,,Q810112,Category:Basilika St. Johann (Saarbrücken),de:Basilika St. Johann (Saarbrücken),"POLYGON ((6.9982242 49.2328493, 6.9981658 49.2328829, 6.9981163 49.2329118, 6.9980667 49.2329406, 6.9980148 49.2329705, 6.998005 49.2329765, 6.9980233 49.2329898, 6.9980537 49.2330107, 6.9983686 49.23324, 6.9984256 49.233211, 6.998487 49.2332573, 6.9985276 49.2332645, 6.9985679 49.2332568, 6.9985968 49.2332328, 6.9985944 49.2332013, 6.9985299 49.2331559, 6.9985843 49.2331214, 6.9982801 49.2328904, 6.998253 49.2328692, 6.9982242 49.2328493))",roman_catholic,,,,,,,https://www.pfarrei-st-johann.de/st-johann.html,,,,,,,,attraction,,,yes,,Katholische Pfarrei St. Johann,,,,,"[1026558013, 1408766707, 1408489772, 1408766704, 8750916709, 1026557887, 1408489771, 5618595748, 1026557843, 1026581129, 1026581097, 1026581147, 1026581093, 1026581119, 1026581126, 1026581149, 1026557792, 5618595758, 1408489770, 1026558013]",,,church,,Basilique Saint-Jean,,Friedrich Joachim Stengel,Q91920,baroque,,,de:Friedrich Joachim Stengel,,,1758,,Citykirche Basilika St. Johann,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,89025712,Saarbrücken,8,66111,Lortzingstraße,place_of_worship,,jewish,no,Q14544692,Category:Synagoge Saarbrücken,de:Synagoge Saarbrücken,"POLYGON ((6.9960247 49.237025, 6.9958826 49.2369043, 6.9958549 49.2368811, 6.9958888 49.2368639, 6.9959439 49.236836, 6.9961887 49.2367118, 6.9962178 49.2367362, 6.9963224 49.236825, 6.9963598 49.2368569, 6.9960896 49.236995, 6.9960621 49.2370062, 6.9960247 49.237025))",,,,,,,DE,http://www.synagogengemeindesaar.de/,,,,+49 681 91038-0,,,,,,Gemeindehaus und Synagoge,,,,,,,,"[1033101874, 1033101977, 2199496278, 10248981440, 10248981435, 2199496287, 1033101822, 2282502088, 1033101750, 6434165721, 2199496284, 1033101874]",,,synagogue,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,,,,,,,,,,,,,,,,,,
way,89051383,,,,,place_of_worship,St. Antonius,christian,,Q18334086,,de:St. Antonius von Padua (Rastpfuhl),"POLYGON ((6.9626637 49.2525683, 6.9626564 49.2525834, 6.962765 49.2526041, 6.9628725 49.2526249, 6.9629968 49.2526484, 6.9630053 49.2526318, 6.9630749 49.2526453, 6.9631517 49.2526313, 6.9631717 49.2525971, 6.9631266 49.2525566, 6.9631455 49.2525145, 6.9629362 49.2524746, 6.9627921 49.2524471, 6.9627153 49.2524325, 6.9627045 49.2524551, 6.9626895 49.2524521, 6.962667 49.2524991, 6.9626365 49.2525627, 6.9626637 49.2525683))",roman_catholic,,,,,,,,,,,,,,File:Rastpfuhl_St_Antonius.jpg,,,,church,,,,,,,"[1033326971, 4464911861, 4464911863, 4464911865, 10785776368, 10785776367, 6707758449, 10785776366, 10785776365, 10785776364, 1033327037, 4464911860, 4464911859, 1033326985, 6702921557, 6702921556, 6702921554, 6702921555, 1033326971]",,,yes,,,https://www.katholisch-malstatt.de/pfarreien-pfarrbezirke/kirchen/st-antonius/,,,,,,,,,,,,,,,,,,,,,,http://www.stjosef-saarbruecken.de/index.php?id=123,,,,,,,,,,,,,,,,,
way,89058395,Saarbrücken,28,66113,Rheinstraße,place_of_worship,St. Paulus,christian,,Q18122950,,de:St. Paulus (Saarbrücken),"POLYGON ((6.9665655 49.24699, 6.9665641 49.2469622, 6.9665579 49.2467291, 6.9665575 49.2467038, 6.9666045 49.2467035, 6.9668779 49.2466968, 6.967001 49.2466938, 6.967065 49.2468383, 6.9670145 49.2469842, 6.9669472 49.2469852, 6.9665655 49.24699))",catholic,,,,,,DE,,,,,,,,File:Rastpfuhl_St_Paulus.jpg,,,,church,,,,,,,"[1033362166, 5006396024, 2199247872, 2199222381, 2199247839, 10798185627, 1033361606, 1033362105, 1033361736, 10809654153, 1033362166]",,,church,,,http://www.stjosef-saarbruecken.de,Prof. Fritz Thoma,,,,,,,,,church,,,,,,,,,,,,,1959-1961,,,,,,,,,,,,,,,,
way,89719394,Saarbrücken,38,66117,Gärtnerstraße,place_of_worship,Evangelisch-Lutherische Immanuelgemeinde Saarbrücken,christian,no,Q18194775,,de:Immanuelkirche (Saarbrücken),"POLYGON ((6.98025 49.233744, 6.9801585 49.2337584, 6.9801096 49.2337564, 6.9800749 49.2337762, 6.9800703 49.2338054, 6.9800863 49.2338182, 6.9801023 49.233831, 6.9801516 49.2338329, 6.980151 49.233843, 6.9803702 49.2338517, 6.980372 49.2338286, 6.9803893 49.2338266, 6.980407 49.2338178, 6.9804153 49.2338034, 6.9804116 49.2337898, 6.9803982 49.2337791, 6.9803768 49.2337739, 6.9803772 49.2337499, 6.98025 49.233744))",lutheran,,,,,,DE,http://www.selk-sb.de/,,,,+49 681 5959586,,,,,,,,,,,,,,"[1039755236, 1039754889, 2143176910, 5792093729, 5792093732, 8347172309, 10122670721, 5792093730, 10122670725, 1039755204, 2284562670, 2284562667, 2284562665, 2284562658, 2284562661, 2284562656, 2284562650, 1039755391, 1039755236]",,,yes,,,,August Rahfeld,,neo-romanesque,Selbständige Evangelisch-Lutherische Kirche,,,Kirchenbezirk Süddeutschland,Pfarrbezirk Saarbrücken-Spiesen,1902,church,,,,,,,,,,,,,,saarbruecken@selk.de,+49 681 5959587,SELK,,,,,,,,,,,,,
way,90638799,,,,,place_of_worship,Krankenhauskapelle,christian,,,,,"POLYGON ((7.0039371 49.2329274, 7.0041135 49.2328646, 7.0040372 49.2327767, 7.0038645 49.2328405, 7.0039052 49.2328893, 7.0039265 49.2329148, 7.0039371 49.2329274))",protestant,,,,,,,,,,,,,,,,,,,,,,,,,"[7563077682, 1051968014, 1051967990, 7563077681, 7563077680, 7563077677, 7563077682]",,,hospital,,,,,,,,,,,,,church,,,1,,,,gabled,,,,,,,,,,0,,,,,,,,,,,,
way,91392851,Saarbrücken,4,66117,Pfählerstraße,place_of_worship,Deutschherrenkapelle,christian,,Q1761218,Category:Deutschherrenkapelle Saarbrücken,,"POLYGON ((6.9716846 49.2312206, 6.9717295 49.2313198, 6.9719543 49.2312781, 6.9719883 49.2312505, 6.9719727 49.2312132, 6.9719288 49.2312035, 6.9718646 49.2312145, 6.9718303 49.2312205, 6.9718195 49.2311956, 6.9717773 49.2312034, 6.9716846 49.2312206))",,,,,,,DE,,,,,,,,,attraction,,,yes,,,,,,,"[1061696197, 1061696394, 1061696689, 10828709950, 10828709955, 1061696646, 2282882742, 2282882728, 2282882730, 10828709954, 1061696197]",,,yes,,,,,,,,,,,,,,Deutschherrenkapelle der Deutschherrnkommende,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,91584855,Saarbrücken,188,66129,Saargemünder Straße,place_of_worship,Sankt Katharina,christian,,,,,"POLYGON ((7.0362793 49.1780955, 7.0362827 49.1781176, 7.0362467 49.1781198, 7.0362717 49.1782074, 7.036289 49.1782295, 7.0363165 49.1782412, 7.0363772 49.1782358, 7.0363822 49.1782544, 7.0367562 49.1782204, 7.0367379 49.1780964, 7.036423 49.1781245, 7.0364122 49.1780835, 7.0362793 49.1780955))",catholic,,,,,,DE,http://www.bgb-f.eu/,,,,,,,,,,,,,Katholisch Pfarrei St. Martin,,,,,"[1064082815, 1531128209, 1531128211, 4041488635, 1064082731, 1531128219, 1531128218, 1531128221, 1064082018, 1064082893, 1531128214, 1531128207, 1064082815]",,,yes,,Église Sainte-Catherine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,91594346,Saarbrücken,18,66129,Kirchstraße,place_of_worship,Evangelische Kirche,christian,,Q21160514,,,"POLYGON ((7.0348149 49.178519, 7.0348191 49.1786132, 7.0350026 49.1786097, 7.0349984 49.1785155, 7.0348149 49.178519))",protestant,,,,,,DE,,,,,,,,,,,,,,,,,,,"[1064187399, 1064187784, 1064186765, 1064188364, 1064187399]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,91848395,Saarbrücken,3,66115,Odilienbergstraße,place_of_worship,Herz-Jesu-Kirche,christian,,Q1493844,,de:Herz-Jesu-Kirche (Saarbrücken),"POLYGON ((6.9535979 49.2468787, 6.9539813 49.246823, 6.95402 49.2469278, 6.954144 49.2469116, 6.954108 49.2468036, 6.954196 49.2467885, 6.9542451 49.2467609, 6.9542646 49.2467299, 6.9542394 49.2466758, 6.9541729 49.2466513, 6.9541049 49.2466495, 6.9535434 49.2467365, 6.9535711 49.2468064, 6.9535979 49.2468787))",roman_catholic,,,,,,DE,,,,,,,,https://commons.wikimedia.org/wiki/File:Burbach_Herz_Jesu_01.JPG,,,,church,,,,,,,"[1067366433, 1067366246, 1067366411, 1067366115, 1067366150, 1067366210, 1067366370, 1067366454, 1067366123, 1067366188, 1067366313, 1067366308, 5664762122, 1067366433]",,,church,,,,,,,,,,,,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92020231,Saarbrücken,10,66121,Rückertstraße,place_of_worship,Adventgemeine Saarbrücken,christian,,,,,"POLYGON ((7.005764 49.2278267, 7.0058261 49.2278448, 7.0058839 49.2278622, 7.005959 49.227753, 7.0060119 49.2276766, 7.0058923 49.2276413, 7.005764 49.2278267))",seventh_day_adventist,,,,,,,http://saarbruecken.adventist.eu/,,,,+49 681 5878460,,,,,,,,,,,,,,"[1068972199, 2271839299, 1068972252, 2271839300, 1068972253, 1068972214, 1068972199]",,,yes,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
