element_type,osmid,geometry,addr:housenumber,addr:street,addr:city,addr:country,addr:postcode,source,operator,description,note,amenity,historic,addr:suburb,operator:type,wheelchair,nodes,building,building:levels,roof:shape,source:geometry,start_date,roof:levels,source:outline,addr:subdistrict,building:colour,building:use,roof:colour,building:material,roof:material,contact:website,last_renovation,smoking,source_1,website,heritage,heritage:operator,ref:lda,roof:orientation,name,short_name,architect,nohousenumber,wikimedia_commons,heritage:description,source:addr,social_facility,social_facility:for,fixme,building:levels:underground,height,addr:old_housenumber,layer,contact:email,sport,addr:official_housenumber,loc_name,opening_hours,payment:credit_cards,payment:debit_cards,shop,denomination,religion,addr2:housenumber,addr2:street,source:addr:housenumber,roof:height,construction:start_date,construction,construction:building,opening_date,ways,type
way,35665897,"POLYGON ((8.4028523 49.0546466, 8.4028584 49.0546066, 8.4028616 49.0545854, 8.402863 49.0545761, 8.402998 49.0545848, 8.4029873 49.0546554, 8.4028523 49.0546466))",37,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417635185, 6498479774, 6498479773, 417635186, 417635187, 417635188, 417635185]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703312,"POLYGON ((8.4008687 49.0539552, 8.4009129 49.053958, 8.4009656 49.0539614, 8.4009783 49.0538773, 8.4008814 49.0538711, 8.4008687 49.0539552))",81,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958670, 6498479630, 427548190, 417958681, 417958685, 417958670]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703313,"POLYGON ((8.4015959 49.0541223, 8.4015423 49.0541189, 8.4014992 49.0541161, 8.4015118 49.0540325, 8.4016086 49.0540388, 8.4015959 49.0541223))",69,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[427548115, 6498479612, 417958704, 417958694, 427548112, 427548115]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703315,"POLYGON ((8.4024693 49.0540095, 8.4025097 49.0540121, 8.4026357 49.0540203, 8.4026446 49.0539614, 8.4025352 49.0539543, 8.402537 49.0539426, 8.40248 49.0539389, 8.4024718 49.0539935, 8.4024693 49.0540095))",55,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958714, 6498477683, 417958721, 417958726, 6498479590, 6498479591, 417958731, 6498479589, 417958714]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703316,"POLYGON ((8.4027058 49.0540248, 8.4027469 49.0540275, 8.4028754 49.0540358, 8.402886 49.0539654, 8.4027164 49.0539544, 8.4027082 49.0540089, 8.4027058 49.0540248))",53,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958746, 6498477675, 417958748, 417958750, 417958752, 6498477681, 417958746]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703317,"POLYGON ((8.402942 49.0540632, 8.4029804 49.0540657, 8.4031091 49.054074, 8.4031196 49.0540041, 8.4029526 49.0539933, 8.4029442 49.0540487, 8.402942 49.0540632))",51,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958757, 6498477667, 417958759, 417958761, 417958763, 6498477673, 417958757]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703319,"POLYGON ((8.4031781 49.0540785, 8.4032191 49.0540811, 8.4033476 49.0540895, 8.4033581 49.0540196, 8.4031887 49.0540086, 8.4031803 49.054064, 8.4031781 49.0540785))",49,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958767, 6498477659, 417958769, 417958770, 417958772, 6498477665, 417958767]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703320,"POLYGON ((8.4034189 49.0540941, 8.4034596 49.0540967, 8.403586 49.0541049, 8.4035965 49.054035, 8.4034295 49.0540242, 8.4034211 49.0540796, 8.4034189 49.0540941))",47,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958778, 6498477651, 417958780, 417958782, 417958785, 6498477657, 417958778]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703321,"POLYGON ((8.4034045 49.0543758, 8.4034447 49.0543784, 8.4035726 49.0543867, 8.4035832 49.0543161, 8.4034151 49.0543052, 8.4034069 49.0543599, 8.4034045 49.0543758))",45,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958789, 6498479634, 417958794, 417958797, 417958799, 6498479638, 417958789]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703323,"POLYGON ((8.4032336 49.0546415, 8.4033998 49.0546523, 8.4034104 49.0545819, 8.4032442 49.0545711, 8.4032336 49.0546415))",41,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958806, 417958809, 417958810, 417958812, 417958806]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703324,"POLYGON ((8.4034868 49.054658, 8.4036523 49.0546687, 8.4036629 49.0545983, 8.4034974 49.0545875, 8.4034868 49.054658))",43,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958818, 417958820, 417958822, 417958824, 417958818]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703325,"POLYGON ((8.4023899 49.0545292, 8.4022523 49.0545203, 8.402241 49.0545954, 8.4023785 49.0546044, 8.4023899 49.0545292))",31,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958828, 417958831, 418797695, 417958835, 417958828]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703326,"POLYGON ((8.400748 49.0542297, 8.4007907 49.0542325, 8.4008204 49.0542344, 8.4008314 49.054161, 8.400759 49.0541563, 8.400748 49.0542297))",2,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958842, 6498479686, 417958844, 417958845, 417958847, 417958842]",residential,3,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35703327,"POLYGON ((8.4019681 49.053969, 8.4020112 49.0539718, 8.4021056 49.0539779, 8.4021169 49.0539029, 8.4019795 49.053894, 8.4019681 49.053969))",61,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417958851, 6498479598, 417958853, 417958857, 417958859, 417958851]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35816863,"POLYGON ((8.4031334 49.0545936, 8.4031319 49.054603, 8.4031287 49.0546241, 8.4031227 49.0546642, 8.4029873 49.0546554, 8.402998 49.0545848, 8.4031334 49.0545936))",39,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[418753027, 6498479769, 6498479770, 418753028, 417635188, 417635187, 418753027]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35816864,"POLYGON ((8.4027485 49.0546039, 8.4027546 49.0545639, 8.4027577 49.054543, 8.4027591 49.0545339, 8.4026208 49.0545249, 8.4026103 49.0545949, 8.4027485 49.0546039))",35,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[418753033, 6498479766, 6498479765, 418753034, 417635182, 418753038, 418753033]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35817097,"POLYGON ((8.4015068 49.0546035, 8.4015192 49.054521, 8.4016148 49.0545272, 8.4016024 49.0546097, 8.4015068 49.0546035))",19,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[418754611, 418754612, 418754613, 418797705, 418754611]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
