element_type,osmid,amenity,amperage,authentication:membership_card,bicycle,capacity,fee,motorcar,note,old_ref,opening_hours,operator,payment:enbw_elektronautenkarte,ref,scooter,socket:type2,voltage,geometry,access,authentication:intercharge,operator:wikidata,operator:wikipedia,payment:intercharge,socket:type2:output,description,truck,charging_station:plug,network,socket:schuko,level,socket,lastcheck,authentication:nfc,brand,check_date,payment:app,payment:contactless,short_ref,emergency,fixme,highway,man_made,monitoring:air_quality,monitoring:humidity,monitoring:noise,monitoring:temperature,name,start_date,wifi,layer,capacity:private,not:operator:wikidata,authentication:none,maxstay,parking:fee,manufacturer,model,socket:type2_combo,socket:type2_combo:output,internet_access,internet_access:fee,authentication:website,contact:website,maxheight,maxlength,maxwidth,payment:website,bicycle_parking,covered,motor_vehicle,customers,socket:chademo,email,contact:phone,socket:type2:current,car,socket:chademo:output,motorcycle,payment:cash,reservation,authentication:app,capacity:charging,socket:type2:voltage,socket:type2_combo:current,socket:type2_combo:voltage,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity:wikipedia,brand:wikidata,brand:wikipedia,not:brand:wikidata,short_name,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,website,manufacturer:wikidata,authentication:contactless,charge,payment:chargepoint_card,payment:credit_cards,nodes,orientation,parking:condition,parking:condition:both:maxstay
node,3194635652,charging_station,32,yes,,1,yes,yes,,,24/7,EnBW Energie Baden-Württemberg AG,,DE*EBW*E2042,,2,400,POINT (8.3990426 49.0120026),yes,,Q644304,,,,"2 Anschlüsse, aber nur 1 reservierter Parkplatz. Die Ladesäule steht hinter dem Parkplatz.",,,MeRegioMobil,,,,,yes,EnBW,2017-11,yes,yes,2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3742105980,charging_station,,yes,no,1,,yes,,,,EnBW,,,,,,POINT (8.4856216 48.9974096),,,Q644304,de:EnBW Energie Baden-Württemberg,,,"Ladelichtmast ""SM!GHT Base""",,,,,,,,,SM!GHT,,,,,phone,add charging_station details,street_lamp,monitoring_station,yes,yes,yes,yes,SM!GHT Base,2015-06,free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3742105981,charging_station,,yes,no,1,,yes,,,,EnBW Energie Baden-Württemberg AG,,,,,,POINT (8.4856756 48.9974443),,,Q644304,,,,"Ladelichtmast ""SM!GHT Base""",,,,,,,,,SM!GHT,,,,,phone,add charging_station details,street_lamp,monitoring_station,yes,yes,yes,yes,SM!GHT Base,2015-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3988118272,charging_station,,,,,,,,,,,,,,,,POINT (8.3715694 49.0033623),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4067576800,charging_station,,yes,,2,,,Standort auf Parkdeck 1 bei der Ausfahrt der Schloßgarage,,,EnBW,,,,2,,POINT (8.4039087 49.0109674),,,Q644304,de:EnBW Energie Baden-Württemberg,,,,,,,2,,,2016-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4098007778,charging_station,,,,1,,,1 öffentlicher Parkplatz und ein Parkplatz für Stadtmobil,,,Stadtwerke Karlsruhe,,,,,,POINT (8.4028774 48.9929975),,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4225585811,charging_station,,,,2,,,1 Parkplatz für Stadtmobil reserviert,,,Stadtwerke Karlsruhe GmbH,,,,2,,POINT (8.401371 49.0081611),,,,,,,,,,,,-1,,,,,,,,,,doublecheck operator,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4340091917,charging_station,32,yes,no,2,yes,yes,"maximale Leistung laut Aufschrift 22 kW, das müsste Drehstrom mit 400 V und 32 A entsprechen",,24/7,EnBW AG,yes,2047,no,2,400,POINT (8.4561675 49.0241944),permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4348498295,charging_station,,,yes,2,yes,yes,Zweite Ladestation neben SMIGHT,,24/7,EnBW Energie Baden-Württemberg AG,,,,2,,POINT (8.4356647 49.0058313),,,Q644304,de:EnBW Energie Baden-Württemberg,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4368418469,charging_station,,,,4,,yes,,,,,,,,,,POINT (8.4319495 49.0067264),private,,,,,,nur für VBK-Fahrzeuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4425676807,charging_station,,,,,,yes,,,,EnBW AG,,,,1,,POINT (8.3111241 49.0144335),permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4425676808,charging_station,,,,,,yes,,,,EnBW AG,,,,1,,POINT (8.311055 49.0144317),permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4432353099,charging_station,,,,,,,,,,Robert Bosch GmbH,,,,,,POINT (8.4765351 49.0174676),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4728814334,charging_station,,,no,,,,,,,EnBW,,,,,,POINT (8.3990601 49.0074221),permit,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,Q644304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4759806521,charging_station,,,,2,,,,,,EnBW Energie Baden-Württemberg AG,,,,,,POINT (8.3655458 49.0211712),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4793460914,charging_station,,,no,1,no,yes,,,24/7,Stadtwerke Karlsruhe GmbH,,,no,1,,POINT (8.4109614 49.008399),,,,,,,"im Parkhaus, es fallen Parkgebühren an; 2 Ladesäulen jeweils mit Typ2 und Schuko, eine davon reserviert für Stadtmobil",no,,,1,0,,,,,,,,,,,,,,,,,,,,,,,yes,4 hours,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5001822602,charging_station,32,,,2,yes,yes,,,24/7,EnBW Energie Baden-Württemberg AG,,,,2,400,POINT (8.4355849 49.00585),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,SMIGHT Base Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5167928328,charging_station,,,,2,,,2 Ladestationen nebeneinander mit je 2 Parkplätzen,,,eeMobility GmbH,,,,,,POINT (8.3501049 49.0270459),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5167928329,charging_station,,,,2,,,2 Ladestationen nebeneinander mit je 2 Parkplätzen,,,eeMobility GmbH,,,,,,POINT (8.3501693 49.0270705),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5238421280,charging_station,,,,,,,,,,Deutsche Bahn,,,,,,POINT (8.4110682 48.9947301),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5248942490,charging_station,32,yes,,2,yes,yes,,,24/7,Stadtwerke Karlsruhe GmbH; EnBW Energie Baden-Württemberg GmbH,,2087,,2,400,POINT (8.4457653 49.026294),,,,,,,,,,MeRegioMobil,,,,,,,2018-08-18,,,,,,,,,,,,,2017-11,,,,,,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5324013515,charging_station,,,,2,,yes,,,24/7,Graf Hardenberg GmbH,,,,,,POINT (8.4432379 49.0064126),customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5339188498,charging_station,,,,2,no,yes,,,24/7,Ed. Züblin AG,,,,2,,POINT (8.4624781 49.0249754),customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5531759684,charging_station,,,,2,yes,yes,,,,EnBW Energie Baden-Württemberg AG,,4200,,1,,POINT (8.4172708 49.0081588),yes,,Q644304,,,22 kW,,,,,,,,,,,,,,,,,,,,,,,4200,,,,,,,,,,,1,50 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5549850413,charging_station,,,yes,3,,no,,,,Alid Süd,,,,,,POINT (8.3853841 48.9935067),,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Aldi E-Bike Ladestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5647839452,charging_station,32,,,2,no,yes,,,24/7,Stadtwerke Karlsruhe GmbH,,,,2,400,POINT (8.3831383 49.0010917),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,SMIGHT Base Tower,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6132659036,charging_station,,,,2,,,,,,,,,,,,POINT (8.4164435 49.0080471),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6133398494,charging_station,,,yes,1,yes,no,,,24/7,Karlsruher Fächer GmbH;Kienzler Stadtmobiliar GmbH,,,no,,,POINT (8.4622219 49.0010223),,,,,,,Ladestation in der Bike-and-Ridebox,no,,,1,,,,,,,,,,,,,,,,,,,2018-12,,,,,,,,,,,,,,yes,https://www.bikeandridebox.de,1.16,1.98,0.8,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6133398495,charging_station,,,yes,1,yes,no,,,24/7,Karlsruher Fächer GmbH;Kienzler Stadtmobiliar GmbH,,,no,,,POINT (8.4622339 49.0010266),,,,,,,Ladestation in der Bike-and-Ridebox,no,,,1,,,,,,,,,,,,,,,,,,,2018-12,,,,,,,,,,,,,,yes,https://www.bikeandridebox.de,1.16,1.98,0.8,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6133398496,charging_station,,,yes,1,yes,no,,,24/7,Karlsruher Fächer GmbH;Kienzler Stadtmobiliar GmbH,,,no,,,POINT (8.4622459 49.0010308),,,,,,,Ladestation in der Bike-and-Ridebox,no,,,1,,,,,,,,,,,,,,,,,,,2018-12,,,,,,,,,,,,,,yes,https://www.bikeandridebox.de,1.16,1.98,0.8,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6133398497,charging_station,,,yes,1,yes,no,,,24/7,Karlsruher Fächer GmbH;Kienzler Stadtmobiliar GmbH,,,no,,,POINT (8.4622579 49.0010351),,,,,,,Ladestation in der Bike-and-Ridebox,no,,,1,,,,,,,,,,,,,,,,,,,2018-12,,,,,,,,,,,,,,yes,https://www.bikeandridebox.de,1.16,1.98,0.8,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6133398498,charging_station,,,yes,1,yes,no,,,24/7,Karlsruher Fächer GmbH;Kienzler Stadtmobiliar GmbH,,,no,,,POINT (8.4622699 49.0010394),,,,,,,Ladestation in der Bike-and-Ridebox,no,,,1,,,,,,,,,,,,,,,,,,,2018-12,,,,,,,,,,,,,,yes,https://www.bikeandridebox.de,1.16,1.98,0.8,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6133398499,charging_station,,,yes,1,yes,no,,,24/7,Karlsruher Fächer GmbH;Kienzler Stadtmobiliar GmbH,,,no,,,POINT (8.4622819 49.0010436),,,,,,,Ladestation in der Bike-and-Ridebox,no,,,1,,,,,,,,,,,,,,,,,,,2018-12,,,,,,,,,,,,,,yes,https://www.bikeandridebox.de,1.16,1.98,0.8,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6333727780,charging_station,,yes,no,4,yes,yes,,,24/7,Virta International GmbH,,,no,2,,POINT (8.4283769 48.9995021),,,,,,22 kW;43 kW,,no,,Virta,,,,,yes,,,,,,,,,,,,,,EFA Tankstellen CCS1,2018-03,,,,,,,,,,2,100 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6404822373,charging_station,,yes,,2,yes,yes,,,24/7,EnBW,,2037,,2,,POINT (8.3437888 49.0072753),,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6534374162,charging_station,,,yes,3,,,,,,ALDI Süd,,,,,,POINT (8.3920757 49.0366508),,,Q41171672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_loops;stands,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6550967187,charging_station,,,,,,,,,,Tesla Destination Charger/AAA Hotels,,,,,,POINT (8.3935289 49.0126688),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6597207397,charging_station,,,,2,,yes,,,24/7,EnBW Energie Baden-Württemberg AG,,,,,,POINT (8.4562285 49.0034014),customers,,Q644304,de:EnBW Energie Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6633360985,charging_station,500,,,2,yes,yes,,,24/7,EnBW Energie Baden-Württemberg AG,,8022,,1,400,POINT (8.4324554 49.0038767),,,Q644304,de:EnBW Energie Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07,,,,,,,,alpitronic GmbH,hypercharger 150,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6796841891,charging_station,,,,2,,,,,,EnBW Energie Baden-Württemberg AG,,,,2,,POINT (8.3105692 49.0146394),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6796841892,charging_station,,,,2,,,,,,EnBW Energie Baden-Württemberg AG,,,,2,,POINT (8.3105009 49.0146402),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6796841893,charging_station,,,,2,,,,,,EnBW Energie Baden-Württemberg AG,,,,2,,POINT (8.3104326 49.014641),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6796841894,charging_station,,,,2,,,,,,EnBW Energie Baden-Württemberg AG,,,,2,,POINT (8.310296 49.0146426),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6796841895,charging_station,,,,2,,,,,,EnBW Energie Baden-Württemberg AG,,,,2,,POINT (8.3102277 49.0146434),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6796841896,charging_station,,,,2,,,,,,EnBW Energie Baden-Württemberg AG,,,,2,,POINT (8.3101594 49.0146442),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6796841917,charging_station,,,,2,no,,,,24/7,EnBW Energie Baden-Württemberg AG,,,,2,,POINT (8.3111663 49.0137662),,,,,,11 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6817716932,charging_station,,,,2,,,,,24/7,:Domus 7,,,,2,,POINT (8.3952801 49.0163155),,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,:Domus 7 Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,etanken@domus7.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7034598824,charging_station,,yes,,2,,,,,"Mo-Sa 07:00-20:00; Su,PH off",123energie,,Hornbach 2 Karlsruhe Hagsfeld,,2,,POINT (8.4607377 49.018663),,,,,,,,,,,,,,2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 621585 2882,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7034598825,charging_station,,yes,,2,,,,,"Mo-Sa 07:00-20:00; Su,PH off",123energie,,Hornbach 1 Karlsruhe Hagsfeld,,1,,POINT (8.4607447 49.0186743),,,,,,,,,,,,,,2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,+49 621585 2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7041918606,charging_station,,,,1,,yes,,,24/7,Graf Hardenberg GmbH,,,,,,POINT (8.4433506 49.0063893),customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7442368638,charging_station,,,,1,no,,,,,DFS Deutsche Flugsicherung GmbH,,,,,400V,POINT (8.42807 49.0235262),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7442368639,charging_station,,,,1,no,,,,,DFS Deutsche Flugsicherung GmbH,,,,,400V,POINT (8.4280042 49.0235278),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7446945415,charging_station,,,,,yes,yes,,,,EnBW Energie Baden-Württemberg AG,,,,1,,POINT (8.3108126 49.0144324),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7837429857,charging_station,,,,2,,yes,,,,Lidl,,,,1,,POINT (8.3939222 49.0445333),,,Q151954,,,22kW,,,,,,,,,,,,,,,,check access and more details,,,,,,,,2020-07,,,,,,,,,,1,50kW,,,,,,,,,,,,,1,,,,,50kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7981238079,charging_station,,yes,,2,,,,,,123energie,,Hornbach 1 Karlsruhe Grünwinkel,,1,,POINT (8.3562561 48.9979754),,,,,,,,,,,,,,2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,+49 621585 2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7997209554,charging_station,,,yes,6,yes,no,,,24/7,Albtal-Verkehrs-Gesellschaft mbH,,,no,,230,POINT (8.3962685 48.9931807),,,,,,,"B+R-Box mit E-Bike-Ladestation, Mieten für 1 Tag, 1 Monat oder 1 Jahr über Weboberfläche",no,,,6,,,,,,,,,,,,,,,,,,,2017-11,,,,,,1 year,,Kienzler Stadtmobilar GmbH,,,,,,yes,https://www.bikeandridebox.de/,1.16,1.98,0.80,yes,,yes,,,,,,,,,no,no,required,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8193924182,charging_station,,,,,,,,,,,,,,,,POINT (8.3513903 49.0206589),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8193924183,charging_station,,,,,,,,,,,,,,,,POINT (8.3520745 49.0212523),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8193924184,charging_station,,,,,,,,,,,,,,,,POINT (8.3520418 49.0212829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8193924185,charging_station,,,,,,,,,,,,,,,,POINT (8.3513635 49.0206505),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8223818643,charging_station,500,yes,,2,yes,,,,24/7,EnBW Energie Baden-Württemberg AG,,8545,,0,1000,POINT (8.447412 49.0037825),,,Q644304,de:EnBW Energie Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12,,,,,,,no,alpitronic GmbH,HYC 300,2,300kW,,,,,,,,,,,,,0,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
