element_type,osmid,geometry,amenity,image,name,religion,denomination,website,addr:city,addr:housenumber,addr:postcode,addr:street,addr:country,name:ar,office,operator,source,building,historic,wheelchair,email,phone,nodes,building:levels,roof:levels,roof:shape,wikipedia,wikidata,start_date,alt_name,building:architecture,building:use,heritage,heritage:operator,heritage:website,loc_name,name:ru,official_name,opening_hours,ref:whc,whc:criteria,whc:inscription_date,name:es,name:fr,name:lb,toilets:wheelchair,diocese,addr:housename,addr:suburb,gdke:criteria,building:colour,roof:colour,contact:phone,tourism,shrine,fixme,description,old_name,chapel,access,ruins
node,1168048965,POINT (6.7060686 49.7454351),place_of_worship,https://commons.wikimedia.org/wiki/File:Trier_Tarforst_Kreuzweg_BW_2020-06-11_12-29-21.JPG,Kapellchen,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1203167163,POINT (6.6868323 49.7442053),place_of_worship,,ESG,christian,protestant,https://www.esg-trier.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1420450475,POINT (6.6352793 49.7544061),place_of_worship,,Freie Evangelische Gemeinde,christian,lutheran,,Trier,1,54290,Johannisstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1420450476,POINT (6.6356182 49.7550712),place_of_worship,,,christian,baptist,,Trier,21,54290,Zuckerbergstraße,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4510245146,POINT (6.6478604 49.7657136),place_of_worship,,Imam Husain Verein e.V.,muslim,shia,,,,,,,جمعية الإمام الحسين,religion,Islamische Gemeinschaft der schiitischen Gemeinden Deutschlands e.V. (IGS),HiRes aerial imagery;Bing;http://www.igs-deutschland.org/die-igs/moscheekarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4599626829,POINT (6.6502069 49.7253952),place_of_worship,,Muttergottes Bildstock,christian,,,,,,,,,,,,wayside_shrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4611606985,POINT (6.6919846 49.7109131),place_of_worship,,,christian,,https://kulturdb.de/einObjekt.php?id=25879,,,,,,,,,,wayside_shrine,wayside_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5014817168,POINT (6.6411712 49.765472),place_of_worship,,Freikirche der Siebenten-Tags-Adventisten,christian,seventh_day_adventist,https://trier.adventist.eu/,Trier,50,54292,Peter-Friedhofen-Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5713915714,POINT (6.6241725 49.7582559),place_of_worship,,Buddhistisches Zentrum Trier,buddhist,,https://www.diamantweg-buddhismus.de/trier,Trier,32,54294,Hornstraße,DE,,,,,,,,trier@diamondway-center.org,+49 6581 3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6990962786,POINT (6.6277561 49.7260836),place_of_worship,,Königreichssaal der Zeugen Jehovas,christian,jehovahs_witness,http://jw.org,Trier,26,54294,Auf der Grafschaft,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7098567381,POINT (6.6498679 49.7582215),place_of_worship,,Gemeinde Jesus Christus Rehoboth Trier,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
